paso,cooperacion_global,E,P,O,A,R
0,0.51,0.27,0.22,0.17,0.22,0.12
1,0.49,0.27,0.22,0.17,0.22,0.12
2,0.5,0.27,0.22,0.17,0.22,0.12
3,0.49,0.29,0.2,0.19,0.22,0.1
4,0.44,0.3,0.22,0.17,0.21,0.1
5,0.49,0.27,0.23,0.2,0.2,0.1
6,0.48,0.27,0.24,0.18,0.2,0.11
7,0.48,0.29,0.22,0.17,0.19,0.13
8,0.48,0.3,0.22,0.18,0.18,0.12
9,0.44,0.3,0.26,0.16,0.16,0.12
10,0.46,0.29,0.29,0.16,0.15,0.11
11,0.48,0.33,0.28,0.14,0.17,0.08
12,0.49,0.35,0.29,0.12,0.16,0.08
13,0.48,0.35,0.31,0.12,0.15,0.07
14,0.49,0.36,0.3,0.12,0.15,0.07
15,0.51,0.33,0.29,0.16,0.15,0.07
16,0.48,0.36,0.28,0.16,0.15,0.05
17,0.43,0.37,0.29,0.15,0.13,0.06
18,0.42,0.37,0.27,0.17,0.14,0.05
19,0.45,0.34,0.3,0.15,0.16,0.05
20,0.5,0.34,0.3,0.15,0.18,0.03
21,0.5,0.31,0.38,0.13,0.16,0.02
22,0.55,0.31,0.39,0.13,0.15,0.02
23,0.55,0.32,0.36,0.16,0.14,0.02
24,0.5,0.3,0.38,0.17,0.13,0.02
25,0.53,0.31,0.37,0.17,0.13,0.02
26,0.5,0.33,0.35,0.16,0.13,0.03
27,0.49,0.35,0.34,0.13,0.14,0.04
28,0.51,0.36,0.33,0.14,0.14,0.03
29,0.48,0.35,0.34,0.14,0.13,0.04
30,0.49,0.32,0.36,0.14,0.14,0.04
31,0.5,0.32,0.37,0.13,0.13,0.05
32,0.51,0.31,0.39,0.13,0.13,0.04
33,0.54,0.32,0.39,0.12,0.14,0.03
34,0.55,0.33,0.41,0.12,0.12,0.02
35,0.54,0.34,0.42,0.11,0.12,0.01
36,0.55,0.36,0.42,0.1,0.11,0.01
37,0.53,0.34,0.44,0.11,0.1,0.01
38,0.54,0.34,0.46,0.11,0.08,0.01
39,0.55,0.34,0.49,0.06,0.1,0.01
40,0.59,0.34,0.49,0.05,0.1,0.02
41,0.6,0.36,0.49,0.06,0.07,0.02
42,0.57,0.36,0.5,0.06,0.06,0.02
43,0.57,0.38,0.51,0.06,0.04,0.01
44,0.56,0.39,0.48,0.07,0.05,0.01
45,0.53,0.37,0.52,0.06,0.04,0.01
46,0.57,0.38,0.51,0.06,0.04,0.01
47,0.56,0.39,0.49,0.07,0.04,0.01
48,0.54,0.39,0.49,0.08,0.03,0.01
49,0.52,0.36,0.51,0.08,0.04,0.01
50,0.13,0.36,0.52,0.08,0.04,0.0
51,0.12,0.33,0.56,0.07,0.04,0.0
52,0.11,0.33,0.56,0.07,0.04,0.0
53,0.11,0.34,0.55,0.07,0.04,0.0
54,0.11,0.34,0.55,0.07,0.04,0.0
55,0.11,0.34,0.55,0.07,0.04,0.0
56,0.11,0.34,0.55,0.07,0.04,0.0
57,0.11,0.34,0.55,0.07,0.04,0.0
58,0.11,0.33,0.57,0.06,0.04,0.0
59,0.1,0.32,0.6,0.04,0.04,0.0
60,0.08,0.33,0.6,0.04,0.03,0.0
61,0.07,0.33,0.6,0.04,0.03,0.0
62,0.07,0.33,0.61,0.04,0.02,0.0
63,0.06,0.32,0.62,0.04,0.02,0.0
64,0.06,0.32,0.63,0.03,0.02,0.0
65,0.05,0.33,0.62,0.03,0.02,0.0
66,0.05,0.33,0.62,0.03,0.02,0.0
67,0.05,0.34,0.6,0.04,0.02,0.0
68,0.06,0.38,0.56,0.04,0.02,0.0
69,0.06,0.39,0.56,0.03,0.02,0.0
70,0.05,0.41,0.55,0.02,0.02,0.0
71,0.04,0.41,0.55,0.02,0.02,0.0
72,0.04,0.4,0.56,0.02,0.02,0.0
73,0.04,0.4,0.56,0.02,0.02,0.0
74,0.04,0.42,0.55,0.02,0.01,0.0
75,0.03,0.44,0.53,0.02,0.01,0.0
76,0.03,0.45,0.53,0.01,0.01,0.0
77,0.02,0.44,0.55,0.0,0.01,0.0
78,0.01,0.42,0.57,0.0,0.01,0.0
79,0.01,0.43,0.56,0.0,0.01,0.0
80,0.01,0.43,0.56,0.0,0.01,0.0
81,0.01,0.43,0.57,0.0,0.0,0.0
82,0.0,0.44,0.56,0.0,0.0,0.0
83,0.0,0.46,0.54,0.0,0.0,0.0
84,0.0,0.46,0.54,0.0,0.0,0.0
85,0.0,0.45,0.55,0.0,0.0,0.0
86,0.0,0.42,0.58,0.0,0.0,0.0
87,0.0,0.39,0.61,0.0,0.0,0.0
88,0.0,0.39,0.61,0.0,0.0,0.0
89,0.0,0.4,0.6,0.0,0.0,0.0
90,0.0,0.4,0.6,0.0,0.0,0.0
91,0.0,0.39,0.61,0.0,0.0,0.0
92,0.0,0.37,0.63,0.0,0.0,0.0
93,0.0,0.37,0.63,0.0,0.0,0.0
94,0.0,0.39,0.61,0.0,0.0,0.0
95,0.0,0.4,0.6,0.0,0.0,0.0
96,0.0,0.39,0.61,0.0,0.0,0.0
97,0.0,0.37,0.63,0.0,0.0,0.0
98,0.0,0.36,0.64,0.0,0.0,0.0
99,0.0,0.38,0.62,0.0,0.0,0.0
