paso,cooperacion_global,E,P,O,A,R
0,0.39,0.29,0.22,0.27,0.12,0.1
1,0.38,0.29,0.22,0.27,0.12,0.1
2,0.4,0.29,0.22,0.27,0.12,0.1
3,0.37,0.26,0.18,0.34,0.15,0.07
4,0.39,0.23,0.22,0.34,0.15,0.06
5,0.4,0.24,0.21,0.36,0.15,0.04
6,0.38,0.25,0.2,0.36,0.15,0.04
7,0.36,0.24,0.21,0.36,0.14,0.05
8,0.38,0.22,0.2,0.39,0.14,0.05
9,0.38,0.21,0.18,0.4,0.14,0.07
10,0.38,0.2,0.18,0.39,0.14,0.09
11,0.38,0.19,0.21,0.35,0.16,0.09
12,0.41,0.22,0.2,0.34,0.16,0.08
13,0.41,0.22,0.2,0.34,0.16,0.08
14,0.38,0.22,0.2,0.34,0.15,0.09
15,0.4,0.21,0.19,0.35,0.15,0.1
16,0.39,0.2,0.18,0.35,0.16,0.11
17,0.37,0.19,0.18,0.35,0.17,0.11
18,0.39,0.22,0.17,0.32,0.18,0.11
19,0.42,0.21,0.18,0.31,0.17,0.13
20,0.42,0.21,0.17,0.29,0.2,0.13
21,0.46,0.22,0.16,0.32,0.16,0.14
22,0.39,0.22,0.15,0.32,0.17,0.14
23,0.4,0.24,0.14,0.31,0.16,0.15
24,0.36,0.25,0.12,0.33,0.14,0.16
25,0.32,0.25,0.12,0.33,0.14,0.16
26,0.33,0.23,0.13,0.32,0.15,0.17
27,0.36,0.24,0.14,0.28,0.18,0.16
28,0.4,0.24,0.14,0.28,0.19,0.15
29,0.4,0.24,0.15,0.25,0.2,0.16
30,0.42,0.23,0.17,0.24,0.19,0.17
31,0.43,0.24,0.15,0.23,0.19,0.19
32,0.42,0.23,0.15,0.22,0.23,0.17
33,0.47,0.24,0.15,0.22,0.22,0.17
34,0.43,0.24,0.13,0.24,0.22,0.17
35,0.42,0.24,0.12,0.25,0.22,0.17
36,0.44,0.23,0.13,0.25,0.22,0.17
37,0.43,0.24,0.13,0.26,0.2,0.17
38,0.44,0.25,0.14,0.27,0.2,0.14
39,0.4,0.24,0.16,0.27,0.19,0.14
40,0.41,0.21,0.16,0.31,0.2,0.12
41,0.42,0.21,0.16,0.3,0.2,0.13
42,0.39,0.21,0.17,0.31,0.19,0.12
43,0.41,0.21,0.16,0.3,0.2,0.13
44,0.43,0.22,0.14,0.3,0.21,0.13
45,0.4,0.24,0.14,0.29,0.21,0.12
46,0.42,0.25,0.14,0.28,0.21,0.12
47,0.38,0.25,0.13,0.32,0.2,0.1
48,0.37,0.23,0.14,0.3,0.22,0.11
49,0.4,0.24,0.16,0.28,0.23,0.09
50,0.56,0.23,0.16,0.27,0.25,0.09
51,0.57,0.25,0.17,0.25,0.22,0.11
52,0.51,0.26,0.18,0.23,0.21,0.12
53,0.5,0.27,0.2,0.2,0.21,0.12
54,0.48,0.29,0.19,0.19,0.21,0.12
55,0.44,0.26,0.21,0.18,0.21,0.14
56,0.47,0.28,0.18,0.17,0.22,0.15
57,0.49,0.25,0.17,0.18,0.23,0.17
58,0.48,0.26,0.19,0.16,0.22,0.17
59,0.46,0.29,0.19,0.17,0.21,0.14
60,0.43,0.29,0.18,0.17,0.23,0.13
61,0.46,0.3,0.19,0.18,0.21,0.12
62,0.44,0.3,0.19,0.17,0.22,0.12
63,0.47,0.34,0.17,0.16,0.22,0.11
64,0.43,0.34,0.19,0.17,0.21,0.09
65,0.43,0.34,0.21,0.16,0.21,0.08
66,0.4,0.34,0.19,0.16,0.21,0.1
67,0.43,0.34,0.21,0.15,0.21,0.09
68,0.42,0.32,0.23,0.15,0.21,0.09
69,0.39,0.32,0.21,0.15,0.22,0.1
70,0.4,0.31,0.23,0.16,0.22,0.08
71,0.43,0.3,0.23,0.18,0.22,0.07
72,0.43,0.33,0.2,0.18,0.22,0.07
73,0.44,0.32,0.18,0.2,0.22,0.08
74,0.46,0.32,0.17,0.2,0.23,0.08
75,0.46,0.36,0.14,0.2,0.23,0.07
76,0.45,0.35,0.14,0.2,0.24,0.07
77,0.46,0.37,0.14,0.19,0.24,0.06
78,0.44,0.38,0.12,0.21,0.23,0.06
79,0.49,0.38,0.12,0.2,0.24,0.06
80,0.46,0.37,0.11,0.2,0.25,0.07
81,0.47,0.38,0.1,0.21,0.25,0.06
82,0.48,0.35,0.09,0.21,0.27,0.08
83,0.53,0.36,0.09,0.21,0.27,0.07
84,0.5,0.35,0.08,0.22,0.28,0.07
85,0.56,0.36,0.07,0.22,0.28,0.07
86,0.54,0.38,0.07,0.23,0.26,0.06
87,0.52,0.34,0.08,0.26,0.26,0.06
88,0.55,0.35,0.07,0.27,0.25,0.06
89,0.56,0.33,0.06,0.29,0.25,0.07
90,0.57,0.33,0.06,0.3,0.24,0.07
91,0.59,0.33,0.06,0.29,0.24,0.08
92,0.57,0.33,0.06,0.3,0.24,0.07
93,0.57,0.32,0.08,0.3,0.24,0.06
94,0.57,0.3,0.08,0.35,0.23,0.04
95,0.6,0.3,0.07,0.35,0.24,0.04
96,0.61,0.28,0.08,0.35,0.25,0.04
97,0.61,0.25,0.08,0.38,0.25,0.04
98,0.65,0.27,0.08,0.35,0.27,0.03
99,0.63,0.28,0.08,0.35,0.27,0.02
