paso,id,fenotipo,cambio_fenotipo,estrategia,pago,tau,theta
0,0-0,A,0,C,0.79,8,1
0,0-1,E,0,D,1.997,4,1
0,0-2,O,0,D,1.997,3,1
0,0-3,A,0,C,-2.419,3,1
0,0-4,E,0,D,5.992,8,1
0,0-5,A,0,C,-2.419,7,1
0,0-6,E,0,D,3.995,9,1
0,0-7,P,0,D,3.995,9,1
0,0-8,P,0,D,1.997,4,1
0,0-9,R,0,D,3.995,5,1
0,1-0,R,0,C,0.79,10,1
0,1-1,O,0,D,1.997,6,1
0,1-2,R,0,D,1.997,6,1
0,1-3,E,0,D,1.997,6,1
0,1-4,O,0,D,0.0,8,1
0,1-5,P,0,D,3.995,8,1
0,1-6,A,0,C,-0.814,8,1
0,1-7,R,0,C,-0.814,4,1
0,1-8,O,0,D,3.995,8,1
0,1-9,R,0,C,-0.814,10,1
0,2-0,P,0,D,1.997,8,1
0,2-1,O,0,D,1.997,3,1
0,2-2,A,0,C,-2.419,7,1
0,2-3,E,0,D,1.997,8,1
0,2-4,O,0,D,1.997,10,1
0,2-5,P,0,D,0.0,4,1
0,2-6,E,0,D,1.997,10,1
0,2-7,P,0,D,3.995,10,1
0,2-8,P,0,D,0.0,3,1
0,2-9,O,0,D,1.997,7,1
0,3-0,E,0,D,0.0,9,1
0,3-1,E,0,D,0.0,4,1
0,3-2,E,0,D,1.997,6,1
0,3-3,R,0,D,1.997,6,1
0,3-4,A,0,C,-2.419,4,1
0,3-5,E,0,D,1.997,7,1
0,3-6,E,0,D,1.997,4,1
0,3-7,A,0,C,-2.419,9,1
0,3-8,E,0,D,1.997,10,1
0,3-9,P,0,D,1.997,7,1
0,4-0,O,0,D,1.997,7,1
0,4-1,O,0,D,0.0,6,1
0,4-2,E,0,D,1.997,8,1
0,4-3,E,0,D,0.0,6,1
0,4-4,E,0,D,1.997,5,1
0,4-5,O,0,D,0.0,9,1
0,4-6,P,0,D,0.0,7,1
0,4-7,E,0,D,1.997,6,1
0,4-8,O,0,D,3.995,10,1
0,4-9,A,0,C,-0.814,4,1
0,5-0,R,0,D,1.997,9,1
0,5-1,E,0,D,1.997,6,1
0,5-2,R,0,C,-2.419,6,1
0,5-3,E,0,D,1.997,3,1
0,5-4,E,0,D,0.0,3,1
0,5-5,O,0,D,0.0,3,1
0,5-6,P,0,D,0.0,3,1
0,5-7,O,0,D,1.997,4,1
0,5-8,A,0,C,-0.814,4,1
0,5-9,A,0,C,0.79,10,1
0,6-0,E,0,D,0.0,8,1
0,6-1,P,0,D,0.0,5,1
0,6-2,P,0,D,1.997,9,1
0,6-3,E,0,D,0.0,3,1
0,6-4,E,0,D,0.0,5,1
0,6-5,O,0,D,1.997,7,1
0,6-6,P,0,D,1.997,5,1
0,6-7,E,0,D,0.0,7,1
0,6-8,O,0,D,1.997,7,1
0,6-9,E,0,D,1.997,9,1
0,7-0,E,0,D,0.0,8,1
0,7-1,P,0,D,1.997,7,1
0,7-2,E,0,D,0.0,8,1
0,7-3,O,0,D,0.0,8,1
0,7-4,E,0,D,1.997,7,1
0,7-5,A,0,C,-0.814,4,1
0,7-6,A,0,C,-0.814,10,1
0,7-7,R,0,D,1.997,10,1
0,7-8,O,0,D,0.0,7,1
0,7-9,P,0,D,1.997,6,1
0,8-0,O,0,D,5.992,5,1
0,8-1,A,0,C,-2.419,3,1
0,8-2,O,0,D,1.997,8,1
0,8-3,E,0,D,0.0,3,1
0,8-4,E,0,D,1.997,10,1
0,8-5,E,0,D,1.997,3,1
0,8-6,P,0,D,1.997,4,1
0,8-7,E,0,D,1.997,9,1
0,8-8,P,0,D,3.995,4,1
0,8-9,A,0,C,-2.419,3,1
0,9-0,R,0,C,-0.814,8,1
0,9-1,E,0,D,3.995,4,1
0,9-2,E,0,D,0.0,5,1
0,9-3,E,0,D,3.995,10,1
0,9-4,R,0,C,-2.419,3,1
0,9-5,O,0,D,3.995,7,1
0,9-6,E,0,D,1.997,6,1
0,9-7,A,0,C,-0.814,10,1
0,9-8,A,0,C,-0.814,4,1
0,9-9,E,0,D,5.992,10,1
1,0-0,A,0,C,2.097,7,2
1,0-1,E,0,D,1.046,5,2
1,0-2,O,0,C,1.146,3,2
1,0-3,A,0,C,1.146,3,2
1,0-4,E,0,D,1.394,7,2
1,0-5,A,0,C,2.097,6,2
1,0-6,E,0,D,1.046,10,2
1,0-7,P,0,C,2.097,8,2
1,0-8,P,0,C,4.0,5,2
1,0-9,R,0,C,3.049,6,2
1,1-0,R,0,C,4.0,10,2
1,1-1,O,0,C,2.097,5,2
1,1-2,R,0,D,1.046,5,2
1,1-3,E,0,D,0.697,5,2
1,1-4,O,0,C,2.097,7,2
1,1-5,P,0,C,4.0,9,2
1,1-6,A,0,C,1.146,7,2
1,1-7,R,0,D,1.394,5,2
1,1-8,O,0,C,3.049,9,2
1,1-9,R,0,C,4.0,10,2
1,2-0,P,0,C,3.049,9,2
1,2-1,O,0,C,3.049,4,2
1,2-2,A,0,C,1.146,6,2
1,2-3,E,0,D,0.697,7,2
1,2-4,O,0,C,3.049,10,2
1,2-5,P,0,C,2.097,3,2
1,2-6,E,0,D,1.046,10,2
1,2-7,P,0,C,2.097,9,2
1,2-8,P,0,C,3.049,3,2
1,2-9,O,0,C,4.0,8,2
1,3-0,E,0,D,1.046,8,2
1,3-1,E,0,D,0.697,5,2
1,3-2,E,0,D,0.349,5,2
1,3-3,R,0,D,0.349,5,2
1,3-4,A,0,C,1.146,3,2
1,3-5,E,0,D,1.046,8,2
1,3-6,E,0,D,0.697,5,2
1,3-7,A,0,C,1.146,8,2
1,3-8,E,0,D,1.394,10,2
1,3-9,P,0,C,2.097,6,2
1,4-0,O,0,C,3.049,8,2
1,4-1,O,0,C,1.146,5,2
1,4-2,E,0,D,0.697,9,2
1,4-3,E,0,D,0.0,5,2
1,4-4,E,0,D,0.697,4,2
1,4-5,O,0,C,2.097,8,2
1,4-6,P,0,C,2.097,6,2
1,4-7,E,0,D,1.394,7,2
1,4-8,O,0,C,2.097,9,2
1,4-9,A,0,C,4.0,5,2
1,5-0,R,0,C,2.097,8,2
1,5-1,E,0,D,1.394,7,2
1,5-2,R,0,C,1.146,5,2
1,5-3,E,0,D,0.349,3,2
1,5-4,E,0,D,0.349,3,2
1,5-5,O,0,C,3.049,4,2
1,5-6,P,0,C,4.0,4,2
1,5-7,O,0,C,2.097,3,2
1,5-8,A,0,C,4.0,5,2
1,5-9,A,0,C,3.049,10,2
1,6-0,E,0,D,0.697,7,2
1,6-1,P,0,C,2.097,4,2
1,6-2,P,0,C,2.097,10,2
1,6-3,E,0,D,0.697,4,2
1,6-4,E,0,D,0.349,4,2
1,6-5,O,0,C,3.049,8,2
1,6-6,P,0,C,3.049,4,2
1,6-7,E,0,D,1.046,8,2
1,6-8,O,0,C,2.097,6,2
1,6-9,E,0,D,1.046,10,2
1,7-0,E,0,D,1.046,9,2
1,7-1,P,0,C,2.097,6,2
1,7-2,E,0,D,1.394,9,2
1,7-3,O,0,C,0.195,7,2
1,7-4,E,0,D,0.697,8,2
1,7-5,A,0,C,2.097,3,2
1,7-6,A,0,C,3.049,9,2
1,7-7,R,0,D,0.697,10,2
1,7-8,O,0,C,3.049,8,2
1,7-9,P,0,C,2.097,5,2
1,8-0,O,0,C,2.097,4,2
1,8-1,A,0,C,3.049,4,2
1,8-2,O,0,C,1.146,7,2
1,8-3,E,0,D,0.697,3,2
