paso,cooperacion_global,E,P,O,A,R
0,0.41,0.29,0.24,0.21,0.09,0.17
1,0.41,0.29,0.24,0.21,0.09,0.17
2,0.4,0.29,0.24,0.21,0.09,0.17
3,0.43,0.34,0.23,0.22,0.07,0.14
4,0.4,0.33,0.22,0.24,0.07,0.14
5,0.38,0.35,0.21,0.25,0.07,0.12
6,0.34,0.35,0.21,0.24,0.08,0.12
7,0.34,0.35,0.2,0.26,0.08,0.11
8,0.34,0.37,0.21,0.22,0.09,0.11
9,0.36,0.34,0.19,0.27,0.11,0.09
10,0.32,0.36,0.19,0.25,0.12,0.08
11,0.37,0.36,0.2,0.23,0.13,0.08
12,0.36,0.34,0.2,0.25,0.14,0.07
13,0.37,0.34,0.2,0.25,0.14,0.07
14,0.39,0.34,0.2,0.27,0.13,0.06
15,0.37,0.34,0.19,0.27,0.14,0.06
16,0.35,0.32,0.16,0.29,0.16,0.07
17,0.35,0.33,0.16,0.29,0.15,0.07
18,0.34,0.35,0.15,0.29,0.16,0.05
19,0.33,0.38,0.14,0.29,0.14,0.05
20,0.31,0.38,0.16,0.26,0.14,0.06
21,0.33,0.37,0.17,0.25,0.11,0.1
22,0.36,0.38,0.16,0.26,0.1,0.1
23,0.27,0.37,0.17,0.27,0.09,0.1
24,0.29,0.34,0.17,0.3,0.09,0.1
25,0.29,0.35,0.16,0.3,0.09,0.1
26,0.3,0.35,0.16,0.31,0.08,0.1
27,0.29,0.36,0.18,0.29,0.07,0.1
28,0.29,0.32,0.22,0.3,0.05,0.11
29,0.34,0.34,0.24,0.26,0.04,0.12
30,0.33,0.34,0.26,0.23,0.04,0.13
31,0.37,0.35,0.26,0.21,0.03,0.15
32,0.41,0.36,0.25,0.22,0.03,0.14
33,0.35,0.36,0.25,0.22,0.03,0.14
34,0.33,0.35,0.26,0.24,0.03,0.12
35,0.36,0.35,0.27,0.24,0.03,0.11
36,0.34,0.32,0.29,0.24,0.05,0.1
37,0.39,0.31,0.29,0.25,0.05,0.1
38,0.41,0.31,0.3,0.25,0.06,0.08
39,0.41,0.26,0.34,0.26,0.06,0.08
40,0.45,0.3,0.33,0.24,0.05,0.08
41,0.39,0.3,0.34,0.25,0.05,0.06
42,0.44,0.3,0.34,0.26,0.05,0.05
43,0.41,0.29,0.32,0.28,0.06,0.05
44,0.39,0.27,0.33,0.29,0.06,0.05
45,0.42,0.27,0.31,0.29,0.06,0.07
46,0.4,0.28,0.31,0.28,0.06,0.07
47,0.42,0.31,0.31,0.27,0.04,0.07
48,0.39,0.31,0.31,0.26,0.04,0.08
49,0.41,0.33,0.31,0.23,0.04,0.09
50,0.3,0.34,0.29,0.24,0.04,0.09
51,0.32,0.28,0.36,0.24,0.04,0.08
52,0.33,0.3,0.35,0.23,0.04,0.08
53,0.32,0.3,0.36,0.22,0.04,0.08
54,0.3,0.31,0.36,0.22,0.04,0.07
55,0.29,0.29,0.38,0.21,0.04,0.08
56,0.3,0.3,0.37,0.21,0.04,0.08
57,0.27,0.32,0.36,0.2,0.04,0.08
58,0.28,0.32,0.35,0.21,0.04,0.08
59,0.26,0.31,0.36,0.21,0.04,0.08
60,0.29,0.3,0.38,0.21,0.04,0.07
61,0.28,0.25,0.44,0.21,0.04,0.06
62,0.28,0.26,0.44,0.21,0.04,0.05
63,0.26,0.25,0.45,0.21,0.04,0.05
64,0.26,0.23,0.46,0.23,0.03,0.05
65,0.29,0.21,0.48,0.23,0.03,0.05
66,0.28,0.2,0.47,0.24,0.03,0.06
67,0.31,0.19,0.45,0.28,0.02,0.06
68,0.34,0.17,0.46,0.3,0.02,0.05
69,0.36,0.17,0.43,0.32,0.02,0.06
70,0.39,0.16,0.44,0.33,0.02,0.05
71,0.4,0.14,0.45,0.35,0.01,0.05
72,0.4,0.13,0.47,0.33,0.01,0.06
73,0.39,0.11,0.48,0.33,0.01,0.07
74,0.38,0.11,0.48,0.34,0.01,0.06
75,0.39,0.13,0.48,0.32,0.01,0.06
76,0.36,0.13,0.47,0.32,0.01,0.07
77,0.36,0.14,0.47,0.33,0.01,0.05
78,0.34,0.13,0.5,0.34,0.0,0.03
79,0.35,0.13,0.51,0.35,0.0,0.01
80,0.36,0.14,0.53,0.33,0.0,0.0
81,0.33,0.14,0.49,0.37,0.0,0.0
82,0.37,0.13,0.5,0.37,0.0,0.0
83,0.37,0.14,0.49,0.37,0.0,0.0
84,0.37,0.13,0.5,0.37,0.0,0.0
85,0.37,0.16,0.48,0.36,0.0,0.0
86,0.36,0.15,0.48,0.37,0.0,0.0
87,0.37,0.14,0.49,0.37,0.0,0.0
88,0.37,0.14,0.49,0.37,0.0,0.0
89,0.37,0.14,0.48,0.38,0.0,0.0
90,0.38,0.16,0.45,0.39,0.0,0.0
91,0.39,0.15,0.46,0.39,0.0,0.0
92,0.39,0.17,0.44,0.39,0.0,0.0
93,0.39,0.17,0.43,0.4,0.0,0.0
94,0.4,0.16,0.41,0.43,0.0,0.0
95,0.43,0.16,0.42,0.42,0.0,0.0
96,0.42,0.16,0.4,0.44,0.0,0.0
97,0.44,0.13,0.42,0.45,0.0,0.0
98,0.45,0.12,0.42,0.46,0.0,0.0
99,0.46,0.12,0.4,0.48,0.0,0.0
