paso,cooperacion_global,E,P,O,A,R
0,0.52,0.2,0.28,0.16,0.15,0.21
1,0.55,0.2,0.28,0.16,0.15,0.21
2,0.54,0.2,0.28,0.16,0.15,0.21
3,0.54,0.22,0.24,0.23,0.1,0.21
4,0.48,0.2,0.23,0.27,0.09,0.21
5,0.44,0.22,0.22,0.29,0.09,0.18
6,0.39,0.23,0.21,0.28,0.09,0.19
7,0.4,0.24,0.23,0.27,0.09,0.17
8,0.41,0.22,0.22,0.28,0.09,0.19
9,0.4,0.22,0.21,0.28,0.07,0.22
10,0.38,0.21,0.21,0.29,0.06,0.23
11,0.35,0.21,0.21,0.27,0.06,0.25
12,0.39,0.17,0.23,0.27,0.06,0.27
13,0.41,0.15,0.22,0.29,0.07,0.27
14,0.41,0.14,0.23,0.28,0.07,0.28
15,0.44,0.11,0.22,0.29,0.06,0.32
16,0.41,0.1,0.23,0.26,0.06,0.35
17,0.47,0.12,0.23,0.25,0.05,0.35
18,0.52,0.12,0.24,0.27,0.06,0.31
19,0.5,0.13,0.26,0.26,0.07,0.28
20,0.46,0.08,0.28,0.23,0.07,0.34
21,0.49,0.09,0.28,0.22,0.06,0.35
22,0.56,0.08,0.29,0.21,0.06,0.36
23,0.48,0.11,0.26,0.21,0.06,0.36
24,0.49,0.1,0.26,0.17,0.06,0.41
25,0.52,0.1,0.25,0.17,0.06,0.42
26,0.54,0.11,0.25,0.15,0.06,0.43
27,0.5,0.13,0.25,0.13,0.06,0.43
28,0.47,0.14,0.24,0.14,0.05,0.43
29,0.52,0.14,0.23,0.16,0.05,0.42
30,0.46,0.14,0.21,0.15,0.05,0.45
31,0.47,0.14,0.19,0.16,0.05,0.46
32,0.46,0.14,0.2,0.18,0.07,0.41
33,0.48,0.13,0.19,0.21,0.07,0.4
34,0.47,0.14,0.17,0.23,0.07,0.39
35,0.45,0.14,0.18,0.22,0.07,0.39
36,0.52,0.15,0.17,0.23,0.07,0.38
37,0.44,0.16,0.2,0.22,0.08,0.34
38,0.44,0.15,0.2,0.23,0.09,0.33
39,0.46,0.16,0.21,0.23,0.09,0.31
40,0.48,0.15,0.23,0.24,0.09,0.29
41,0.46,0.13,0.27,0.24,0.09,0.27
42,0.47,0.15,0.25,0.24,0.08,0.28
43,0.41,0.15,0.24,0.24,0.08,0.29
44,0.49,0.14,0.24,0.23,0.08,0.31
45,0.45,0.14,0.25,0.22,0.08,0.31
46,0.49,0.15,0.25,0.22,0.08,0.3
47,0.5,0.15,0.23,0.24,0.08,0.3
48,0.42,0.14,0.27,0.22,0.06,0.31
49,0.5,0.14,0.26,0.25,0.05,0.3
50,0.45,0.13,0.27,0.26,0.05,0.29
51,0.51,0.15,0.27,0.26,0.05,0.27
52,0.51,0.16,0.27,0.25,0.05,0.27
53,0.46,0.17,0.27,0.23,0.05,0.28
54,0.36,0.17,0.27,0.22,0.05,0.29
55,0.39,0.16,0.3,0.18,0.06,0.3
56,0.36,0.14,0.3,0.19,0.06,0.31
57,0.39,0.13,0.28,0.2,0.07,0.32
58,0.5,0.15,0.3,0.18,0.07,0.3
59,0.4,0.16,0.27,0.19,0.08,0.3
60,0.44,0.18,0.26,0.19,0.08,0.29
61,0.41,0.19,0.3,0.18,0.08,0.25
62,0.41,0.2,0.31,0.17,0.07,0.25
63,0.38,0.19,0.32,0.16,0.08,0.25
64,0.36,0.17,0.36,0.16,0.08,0.23
65,0.33,0.18,0.37,0.16,0.09,0.2
66,0.39,0.17,0.37,0.17,0.09,0.2
67,0.38,0.15,0.4,0.16,0.1,0.19
68,0.37,0.16,0.41,0.15,0.1,0.18
69,0.35,0.16,0.42,0.15,0.1,0.17
70,0.32,0.19,0.4,0.13,0.1,0.18
71,0.27,0.22,0.38,0.13,0.1,0.17
72,0.3,0.23,0.38,0.14,0.1,0.15
73,0.31,0.22,0.39,0.14,0.12,0.13
74,0.32,0.21,0.39,0.14,0.13,0.13
75,0.33,0.19,0.42,0.15,0.12,0.12
76,0.34,0.2,0.41,0.15,0.12,0.12
77,0.32,0.2,0.4,0.14,0.13,0.13
78,0.34,0.2,0.41,0.13,0.14,0.12
79,0.31,0.2,0.37,0.13,0.19,0.11
80,0.39,0.19,0.37,0.13,0.2,0.11
81,0.41,0.19,0.38,0.13,0.2,0.1
82,0.35,0.19,0.39,0.12,0.21,0.09
83,0.4,0.19,0.39,0.12,0.2,0.1
84,0.39,0.2,0.38,0.12,0.21,0.09
85,0.36,0.22,0.37,0.11,0.21,0.09
86,0.35,0.23,0.38,0.1,0.2,0.09
87,0.34,0.23,0.36,0.1,0.2,0.11
88,0.37,0.23,0.36,0.1,0.19,0.12
89,0.33,0.21,0.38,0.1,0.2,0.11
90,0.37,0.21,0.37,0.1,0.2,0.12
91,0.34,0.21,0.39,0.09,0.18,0.13
92,0.36,0.21,0.39,0.1,0.18,0.12
93,0.33,0.2,0.37,0.1,0.19,0.14
94,0.34,0.2,0.37,0.1,0.22,0.11
95,0.39,0.23,0.36,0.1,0.23,0.08
96,0.37,0.23,0.35,0.11,0.22,0.09
97,0.37,0.27,0.33,0.1,0.22,0.08
98,0.38,0.28,0.32,0.1,0.22,0.08
99,0.36,0.32,0.3,0.09,0.2,0.09
