paso,cooperacion_global,E,P,O,A,R
0,0.36,0.33,0.21,0.23,0.14,0.09
1,0.4,0.33,0.21,0.23,0.14,0.09
2,0.4,0.33,0.21,0.23,0.14,0.09
3,0.41,0.33,0.15,0.29,0.15,0.08
4,0.34,0.33,0.15,0.29,0.15,0.08
5,0.34,0.32,0.15,0.3,0.15,0.08
6,0.34,0.32,0.14,0.33,0.14,0.07
7,0.33,0.33,0.16,0.31,0.13,0.07
8,0.31,0.34,0.14,0.3,0.15,0.07
9,0.34,0.34,0.14,0.27,0.17,0.08
10,0.37,0.33,0.14,0.29,0.16,0.08
11,0.36,0.29,0.15,0.3,0.18,0.08
12,0.35,0.27,0.16,0.29,0.21,0.07
13,0.39,0.26,0.17,0.29,0.21,0.07
14,0.41,0.26,0.18,0.28,0.21,0.07
15,0.41,0.24,0.19,0.26,0.23,0.08
16,0.46,0.24,0.2,0.28,0.2,0.08
17,0.44,0.28,0.18,0.26,0.2,0.08
18,0.41,0.3,0.16,0.24,0.21,0.09
19,0.42,0.32,0.14,0.25,0.2,0.09
20,0.37,0.34,0.12,0.23,0.21,0.1
21,0.37,0.37,0.12,0.22,0.2,0.09
22,0.38,0.34,0.12,0.22,0.21,0.11
23,0.41,0.37,0.12,0.22,0.18,0.11
24,0.34,0.36,0.13,0.28,0.13,0.1
25,0.31,0.32,0.16,0.26,0.16,0.1
26,0.39,0.33,0.16,0.27,0.15,0.09
27,0.36,0.34,0.16,0.27,0.14,0.09
28,0.32,0.36,0.18,0.25,0.13,0.08
29,0.34,0.32,0.2,0.23,0.14,0.11
30,0.41,0.29,0.23,0.25,0.13,0.1
31,0.42,0.28,0.22,0.26,0.14,0.1
32,0.41,0.31,0.17,0.29,0.13,0.1
33,0.35,0.3,0.16,0.32,0.12,0.1
34,0.32,0.29,0.15,0.33,0.12,0.11
35,0.33,0.29,0.18,0.29,0.12,0.12
36,0.36,0.28,0.19,0.3,0.11,0.12
37,0.34,0.29,0.19,0.32,0.1,0.1
38,0.33,0.29,0.19,0.33,0.1,0.09
39,0.35,0.3,0.18,0.34,0.1,0.08
40,0.34,0.29,0.18,0.36,0.09,0.08
41,0.3,0.25,0.21,0.37,0.09,0.08
42,0.34,0.24,0.21,0.37,0.1,0.08
43,0.35,0.27,0.2,0.37,0.08,0.08
44,0.32,0.27,0.19,0.39,0.07,0.08
45,0.31,0.3,0.18,0.37,0.06,0.09
46,0.29,0.3,0.18,0.37,0.06,0.09
47,0.28,0.29,0.18,0.38,0.06,0.09
48,0.29,0.29,0.19,0.37,0.06,0.09
49,0.29,0.25,0.21,0.4,0.05,0.09
50,0.47,0.23,0.22,0.4,0.06,0.09
51,0.49,0.21,0.22,0.43,0.06,0.08
52,0.55,0.23,0.21,0.43,0.05,0.08
53,0.52,0.27,0.17,0.43,0.05,0.08
54,0.52,0.29,0.15,0.44,0.04,0.08
55,0.5,0.29,0.15,0.45,0.04,0.07
56,0.53,0.28,0.17,0.45,0.05,0.05
57,0.53,0.23,0.19,0.48,0.05,0.05
58,0.55,0.19,0.21,0.5,0.05,0.05
59,0.58,0.18,0.22,0.49,0.05,0.06
60,0.57,0.18,0.23,0.48,0.05,0.06
61,0.57,0.16,0.2,0.53,0.05,0.06
62,0.63,0.16,0.2,0.52,0.06,0.06
63,0.62,0.18,0.18,0.53,0.06,0.05
64,0.63,0.15,0.17,0.54,0.07,0.07
65,0.65,0.16,0.19,0.51,0.07,0.07
66,0.63,0.16,0.2,0.52,0.06,0.06
67,0.62,0.17,0.18,0.51,0.07,0.07
68,0.63,0.17,0.17,0.52,0.07,0.07
69,0.63,0.16,0.17,0.53,0.07,0.07
70,0.62,0.16,0.16,0.54,0.07,0.07
71,0.64,0.15,0.16,0.53,0.08,0.08
72,0.67,0.16,0.15,0.56,0.07,0.06
73,0.68,0.15,0.15,0.57,0.07,0.06
74,0.68,0.16,0.12,0.6,0.07,0.05
75,0.68,0.13,0.12,0.64,0.07,0.04
76,0.73,0.16,0.09,0.64,0.07,0.04
77,0.72,0.19,0.1,0.6,0.07,0.04
78,0.71,0.17,0.12,0.59,0.08,0.04
79,0.69,0.19,0.11,0.58,0.08,0.04
80,0.67,0.18,0.11,0.59,0.08,0.04
81,0.69,0.18,0.09,0.61,0.08,0.04
82,0.7,0.19,0.05,0.65,0.07,0.04
83,0.74,0.17,0.05,0.67,0.07,0.04
84,0.75,0.17,0.03,0.69,0.07,0.04
85,0.78,0.15,0.02,0.71,0.08,0.04
86,0.83,0.13,0.02,0.73,0.08,0.04
87,0.81,0.14,0.02,0.72,0.07,0.05
88,0.8,0.13,0.02,0.74,0.06,0.05
89,0.83,0.14,0.03,0.72,0.05,0.06
90,0.8,0.15,0.03,0.72,0.05,0.05
91,0.8,0.13,0.02,0.76,0.05,0.04
92,0.82,0.13,0.02,0.77,0.05,0.03
93,0.84,0.13,0.01,0.78,0.05,0.03
94,0.83,0.12,0.0,0.8,0.05,0.03
95,0.88,0.1,0.0,0.81,0.05,0.04
96,0.87,0.08,0.0,0.85,0.03,0.04
97,0.89,0.08,0.0,0.85,0.03,0.04
98,0.89,0.08,0.0,0.84,0.03,0.05
99,0.91,0.07,0.0,0.85,0.03,0.05
