paso,id,fenotipo,cambio_fenotipo,estrategia,pago,tau,theta
1,3-8,P,0,C,4.0,6,2
1,3-9,E,0,C,4.0,10,2
1,4-0,O,0,C,4.0,8,2
1,4-1,A,0,C,4.0,7,2
1,4-2,O,0,C,4.0,10,2
1,4-3,O,0,C,4.0,6,2
1,4-4,E,0,C,4.0,10,2
1,4-5,E,0,C,4.0,9,2
1,4-6,A,0,C,4.0,10,2
1,4-7,E,0,C,4.0,3,2
1,4-8,E,0,C,4.0,9,2
1,4-9,A,0,C,4.0,10,2
1,5-0,O,0,C,4.0,9,2
1,5-1,P,0,C,4.0,8,2
1,5-2,R,0,C,4.0,5,2
1,5-3,O,0,C,4.0,9,2
1,5-4,P,0,C,4.0,8,2
1,5-5,P,0,C,4.0,8,2
1,5-6,R,0,C,4.0,6,2
1,5-7,O,0,C,4.0,6,2
1,5-8,O,0,C,4.0,3,2
1,5-9,O,0,C,4.0,7,2
1,6-0,P,0,C,4.0,3,2
1,6-1,A,0,C,4.0,9,2
1,6-2,E,0,C,4.0,10,2
1,6-3,P,0,C,4.0,5,2
1,6-4,E,0,C,4.0,9,2
1,6-5,P,0,C,4.0,10,2
1,6-6,A,0,C,4.0,9,2
1,6-7,E,0,C,3.687,3,2
1,6-8,A,0,C,4.0,6,2
1,6-9,O,0,C,4.0,6,2
1,7-0,E,0,C,4.0,3,2
1,7-1,A,0,C,4.0,3,2
1,7-2,E,0,C,4.0,9,2
1,7-3,O,0,C,4.0,3,2
1,7-4,P,0,C,4.0,6,2
1,7-5,O,0,C,4.0,8,2
1,7-6,A,0,C,3.374,7,2
1,7-7,R,0,D,1.364,9,2
1,7-8,O,0,C,3.687,10,2
1,7-9,R,0,C,4.0,6,2
1,8-0,O,0,C,4.0,10,2
1,8-1,A,0,C,4.0,4,2
1,8-2,P,0,C,4.0,6,2
1,8-3,P,0,C,4.0,10,2
1,8-4,P,0,C,4.0,9,2
1,8-5,E,0,C,3.687,3,2
1,8-6,R,0,D,1.364,10,2
1,8-7,E,0,C,3.374,6,2
1,8-8,R,0,C,4.0,8,2
1,8-9,E,0,C,3.687,3,2
1,9-0,O,0,C,3.687,7,2
1,9-1,P,0,C,4.0,7,2
1,9-2,P,0,C,4.0,5,2
1,9-3,P,0,C,4.0,7,2
1,9-4,A,0,C,4.0,9,2
1,9-5,A,0,C,4.0,10,2
1,9-6,P,0,C,3.687,5,2
1,9-7,O,0,C,4.0,4,2
1,9-8,O,0,C,3.687,4,2
1,9-9,R,0,D,1.364,5,2
2,0-0,A,0,C,1.885,8,3
2,0-1,E,0,D,6.121,10,3
2,0-2,A,0,C,3.295,10,3
2,0-3,P,0,C,2.59,10,3
2,0-4,E,0,D,6.121,7,3
2,0-5,A,0,C,2.59,10,3
2,0-6,P,0,C,2.59,5,3
2,0-7,E,0,D,1.53,10,3
2,0-8,E,0,D,1.53,9,3
2,0-9,P,0,C,1.885,3,3
2,1-0,O,0,D,3.061,7,3
2,1-1,A,0,C,1.885,4,3
2,1-2,P,0,C,3.295,6,3
2,1-3,E,0,D,4.591,10,3
2,1-4,P,0,C,1.18,5,3
2,1-5,E,0,D,3.061,7,3
2,1-6,E,0,D,3.061,4,3
2,1-7,O,0,D,0.0,9,3
2,1-8,E,0,D,1.53,3,3
2,1-9,E,0,D,1.53,8,3
2,2-0,O,0,D,0.0,5,3
2,2-1,O,0,D,3.061,9,3
2,2-2,A,0,C,2.59,4,3
2,2-3,E,0,D,1.53,5,3
2,2-4,O,0,D,1.53,5,3
2,2-5,O,0,D,1.53,9,3
2,2-6,P,0,C,1.18,3,3
2,2-7,O,0,D,3.061,9,3
2,2-8,A,0,C,1.885,5,3
2,2-9,O,0,D,1.53,7,3
2,3-0,O,0,D,0.0,7,3
2,3-1,O,0,D,3.061,10,3
2,3-2,P,0,C,1.885,7,3
2,3-3,E,0,D,1.53,7,3
2,3-4,O,0,D,0.0,6,3
2,3-5,E,0,D,0.0,3,3
2,3-6,E,0,D,3.061,3,3
2,3-7,R,0,D,1.53,9,3
2,3-8,P,0,C,1.885,5,3
2,3-9,E,0,D,3.061,10,3
2,4-0,O,0,D,3.061,9,3
2,4-1,A,0,C,1.885,6,3
2,4-2,O,0,D,4.591,10,3
2,4-3,O,0,D,0.0,5,3
2,4-4,E,0,D,1.53,9,3
2,4-5,E,0,D,3.061,10,3
2,4-6,A,0,C,1.885,9,3
2,4-7,E,0,D,1.53,3,3
2,4-8,E,0,D,3.061,10,3
2,4-9,A,0,C,1.18,9,3
2,5-0,O,0,D,3.061,10,3
2,5-1,P,0,C,3.295,9,3
2,5-2,R,0,C,1.885,4,3
2,5-3,O,0,D,4.591,10,3
