paso,cooperacion_global,E,P,O,A,R
0,0.43,0.26,0.22,0.27,0.17,0.08
1,0.97,0.26,0.22,0.27,0.17,0.08
2,0.43,0.26,0.22,0.27,0.17,0.08
3,0.42,0.22,0.25,0.27,0.19,0.07
4,0.47,0.23,0.26,0.24,0.2,0.07
5,0.23,0.24,0.26,0.27,0.19,0.04
6,0.98,0.25,0.26,0.27,0.18,0.04
7,0.49,0.27,0.27,0.24,0.19,0.03
8,0.19,0.27,0.27,0.28,0.15,0.03
9,0.15,0.25,0.3,0.27,0.15,0.03
10,1.0,0.27,0.28,0.28,0.14,0.03
11,0.71,0.26,0.3,0.27,0.14,0.03
12,0.15,0.26,0.28,0.29,0.14,0.03
13,0.99,0.25,0.29,0.3,0.13,0.03
14,0.15,0.25,0.31,0.28,0.13,0.03
15,0.97,0.26,0.33,0.27,0.11,0.03
16,0.38,0.27,0.33,0.26,0.1,0.04
17,0.11,0.26,0.32,0.28,0.1,0.04
18,0.4,0.25,0.31,0.29,0.1,0.05
19,0.12,0.26,0.29,0.31,0.1,0.04
20,0.42,0.24,0.3,0.31,0.11,0.04
21,0.73,0.19,0.33,0.33,0.13,0.02
22,0.99,0.21,0.29,0.35,0.13,0.02
23,0.42,0.2,0.3,0.36,0.12,0.02
24,1.0,0.19,0.31,0.36,0.12,0.02
25,0.43,0.2,0.31,0.35,0.12,0.02
26,0.49,0.19,0.32,0.35,0.12,0.02
27,0.48,0.2,0.3,0.35,0.13,0.02
28,1.0,0.19,0.3,0.35,0.15,0.01
29,0.45,0.17,0.3,0.37,0.15,0.01
30,0.53,0.19,0.31,0.33,0.16,0.01
31,0.48,0.2,0.31,0.32,0.16,0.01
32,0.48,0.2,0.31,0.32,0.16,0.01
33,0.17,0.22,0.31,0.3,0.17,0.0
34,0.48,0.22,0.32,0.29,0.17,0.0
35,0.46,0.24,0.34,0.26,0.16,0.0
36,0.76,0.21,0.36,0.26,0.17,0.0
37,0.43,0.21,0.34,0.28,0.17,0.0
38,0.51,0.21,0.35,0.28,0.16,0.0
39,1.0,0.23,0.34,0.28,0.15,0.0
40,0.43,0.25,0.32,0.28,0.15,0.0
41,0.47,0.23,0.34,0.28,0.15,0.0
42,0.15,0.26,0.34,0.25,0.15,0.0
43,0.15,0.27,0.31,0.28,0.14,0.0
44,0.73,0.23,0.34,0.3,0.13,0.0
45,0.43,0.23,0.35,0.29,0.13,0.0
46,0.48,0.18,0.39,0.29,0.14,0.0
47,0.82,0.13,0.41,0.31,0.15,0.0
48,0.87,0.12,0.43,0.3,0.15,0.0
49,0.58,0.13,0.41,0.33,0.13,0.0
