paso,cooperacion_global,E,P,O,A,R
0,0.42,0.36,0.21,0.17,0.15,0.11
1,0.41,0.36,0.21,0.17,0.15,0.11
2,0.42,0.36,0.21,0.17,0.15,0.11
3,0.4,0.36,0.23,0.16,0.15,0.1
4,0.44,0.38,0.23,0.15,0.14,0.1
5,0.4,0.37,0.22,0.15,0.13,0.13
6,0.4,0.38,0.22,0.15,0.15,0.1
7,0.43,0.4,0.19,0.15,0.15,0.11
8,0.4,0.41,0.17,0.12,0.18,0.12
9,0.41,0.41,0.17,0.13,0.16,0.13
10,0.38,0.4,0.2,0.12,0.15,0.13
11,0.41,0.41,0.19,0.12,0.15,0.13
12,0.4,0.39,0.2,0.12,0.15,0.14
13,0.44,0.37,0.2,0.13,0.17,0.13
14,0.44,0.37,0.19,0.14,0.15,0.15
15,0.41,0.39,0.17,0.13,0.16,0.15
16,0.39,0.37,0.14,0.14,0.18,0.17
17,0.41,0.39,0.1,0.15,0.17,0.19
18,0.37,0.38,0.1,0.14,0.18,0.2
19,0.35,0.35,0.1,0.17,0.16,0.22
20,0.39,0.37,0.1,0.17,0.16,0.2
21,0.41,0.35,0.11,0.16,0.15,0.23
22,0.35,0.33,0.11,0.18,0.15,0.23
23,0.37,0.33,0.11,0.17,0.14,0.25
24,0.36,0.32,0.11,0.17,0.14,0.26
25,0.39,0.29,0.12,0.17,0.14,0.28
26,0.36,0.28,0.12,0.17,0.15,0.28
27,0.4,0.3,0.12,0.17,0.13,0.28
28,0.39,0.33,0.12,0.13,0.14,0.28
29,0.38,0.38,0.12,0.11,0.15,0.24
30,0.39,0.39,0.12,0.1,0.15,0.24
31,0.37,0.42,0.11,0.09,0.15,0.23
32,0.38,0.47,0.1,0.09,0.14,0.2
33,0.37,0.47,0.1,0.09,0.14,0.2
34,0.37,0.48,0.11,0.08,0.14,0.19
35,0.37,0.49,0.12,0.07,0.13,0.19
36,0.37,0.48,0.12,0.08,0.13,0.19
37,0.36,0.48,0.12,0.1,0.12,0.18
38,0.3,0.46,0.12,0.1,0.13,0.19
39,0.35,0.43,0.12,0.12,0.13,0.2
40,0.36,0.44,0.11,0.13,0.13,0.19
41,0.34,0.43,0.11,0.13,0.13,0.2
42,0.34,0.42,0.14,0.12,0.12,0.2
43,0.36,0.42,0.15,0.1,0.12,0.21
44,0.37,0.41,0.16,0.08,0.12,0.23
45,0.38,0.42,0.16,0.07,0.12,0.23
46,0.41,0.44,0.15,0.07,0.11,0.23
47,0.36,0.44,0.16,0.06,0.11,0.23
48,0.41,0.45,0.15,0.05,0.12,0.23
49,0.41,0.46,0.15,0.05,0.12,0.22
50,0.27,0.45,0.15,0.05,0.13,0.22
51,0.29,0.43,0.16,0.04,0.14,0.23
52,0.29,0.43,0.15,0.03,0.15,0.24
53,0.29,0.44,0.15,0.02,0.15,0.24
54,0.3,0.46,0.14,0.01,0.15,0.24
55,0.29,0.44,0.15,0.01,0.17,0.23
56,0.28,0.45,0.15,0.01,0.17,0.22
57,0.31,0.46,0.14,0.01,0.18,0.21
58,0.28,0.48,0.12,0.01,0.18,0.21
59,0.26,0.49,0.11,0.01,0.18,0.21
60,0.28,0.53,0.09,0.01,0.19,0.18
61,0.29,0.55,0.09,0.01,0.19,0.16
62,0.31,0.55,0.09,0.01,0.2,0.15
63,0.31,0.54,0.11,0.01,0.19,0.15
64,0.28,0.54,0.1,0.0,0.19,0.17
65,0.25,0.53,0.11,0.0,0.2,0.16
66,0.27,0.54,0.11,0.0,0.2,0.15
67,0.27,0.54,0.11,0.0,0.2,0.15
68,0.28,0.52,0.12,0.0,0.21,0.15
69,0.29,0.49,0.13,0.0,0.23,0.15
70,0.34,0.48,0.14,0.0,0.23,0.15
71,0.3,0.47,0.14,0.0,0.25,0.14
72,0.33,0.45,0.14,0.0,0.26,0.15
73,0.37,0.49,0.11,0.0,0.26,0.14
74,0.33,0.49,0.11,0.0,0.26,0.14
75,0.33,0.48,0.12,0.0,0.25,0.15
76,0.31,0.49,0.11,0.0,0.25,0.15
77,0.32,0.5,0.12,0.0,0.24,0.14
78,0.3,0.47,0.13,0.0,0.23,0.17
79,0.34,0.48,0.12,0.0,0.22,0.18
80,0.27,0.48,0.11,0.0,0.24,0.17
81,0.35,0.52,0.1,0.0,0.23,0.15
82,0.29,0.55,0.1,0.0,0.22,0.13
83,0.29,0.54,0.1,0.0,0.23,0.13
84,0.27,0.54,0.11,0.0,0.22,0.13
85,0.28,0.56,0.1,0.0,0.23,0.11
86,0.24,0.57,0.09,0.0,0.23,0.11
87,0.31,0.57,0.09,0.0,0.24,0.1
88,0.26,0.61,0.09,0.0,0.22,0.08
89,0.27,0.6,0.09,0.0,0.23,0.08
90,0.27,0.6,0.09,0.0,0.23,0.08
91,0.26,0.59,0.09,0.0,0.24,0.08
92,0.29,0.59,0.09,0.0,0.24,0.08
93,0.27,0.6,0.07,0.0,0.24,0.09
94,0.29,0.6,0.06,0.0,0.24,0.1
95,0.3,0.62,0.06,0.0,0.22,0.1
96,0.29,0.63,0.05,0.0,0.24,0.08
97,0.3,0.63,0.04,0.0,0.25,0.08
98,0.3,0.64,0.04,0.0,0.25,0.07
99,0.29,0.65,0.04,0.0,0.25,0.06
