paso,cooperacion_global,E,P,O,A,R
0,0.43,0.25,0.19,0.26,0.18,0.12
1,0.43,0.25,0.19,0.26,0.18,0.12
2,0.41,0.25,0.19,0.26,0.18,0.12
3,0.45,0.27,0.19,0.26,0.14,0.14
4,0.4,0.25,0.16,0.28,0.14,0.17
5,0.36,0.23,0.15,0.31,0.12,0.19
6,0.38,0.25,0.15,0.3,0.12,0.18
7,0.37,0.25,0.14,0.27,0.14,0.2
8,0.37,0.25,0.15,0.26,0.14,0.2
9,0.39,0.24,0.15,0.25,0.14,0.22
10,0.39,0.21,0.12,0.28,0.15,0.24
11,0.39,0.2,0.1,0.28,0.17,0.25
12,0.4,0.2,0.07,0.31,0.18,0.24
13,0.37,0.2,0.07,0.31,0.18,0.24
14,0.34,0.17,0.07,0.33,0.19,0.24
15,0.39,0.17,0.07,0.3,0.19,0.27
16,0.36,0.17,0.06,0.29,0.2,0.28
17,0.44,0.16,0.06,0.28,0.22,0.28
18,0.44,0.2,0.06,0.28,0.19,0.27
19,0.36,0.23,0.08,0.24,0.19,0.26
20,0.36,0.22,0.07,0.24,0.18,0.29
21,0.38,0.23,0.08,0.25,0.15,0.29
22,0.37,0.23,0.08,0.26,0.14,0.29
23,0.36,0.23,0.08,0.25,0.13,0.31
24,0.32,0.23,0.08,0.23,0.15,0.31
25,0.37,0.21,0.08,0.23,0.15,0.33
26,0.37,0.21,0.09,0.2,0.15,0.35
27,0.45,0.21,0.09,0.19,0.16,0.35
28,0.48,0.2,0.08,0.2,0.18,0.34
29,0.36,0.17,0.1,0.2,0.2,0.33
30,0.44,0.18,0.09,0.2,0.2,0.33
31,0.5,0.2,0.09,0.2,0.17,0.34
32,0.43,0.19,0.11,0.17,0.17,0.36
33,0.44,0.17,0.1,0.16,0.18,0.39
34,0.5,0.18,0.1,0.16,0.18,0.38
35,0.48,0.15,0.13,0.16,0.19,0.37
36,0.53,0.16,0.12,0.14,0.21,0.37
37,0.51,0.16,0.12,0.15,0.22,0.35
38,0.53,0.13,0.14,0.16,0.24,0.33
39,0.57,0.12,0.17,0.16,0.24,0.31
40,0.56,0.12,0.19,0.16,0.24,0.29
41,0.58,0.15,0.18,0.17,0.24,0.26
42,0.53,0.16,0.18,0.17,0.24,0.25
43,0.56,0.15,0.2,0.18,0.23,0.24
44,0.57,0.17,0.21,0.17,0.22,0.23
45,0.53,0.17,0.24,0.15,0.22,0.22
46,0.57,0.16,0.24,0.16,0.22,0.22
47,0.61,0.17,0.24,0.16,0.21,0.22
48,0.59,0.16,0.25,0.15,0.23,0.21
49,0.59,0.16,0.26,0.13,0.22,0.23
50,0.44,0.18,0.24,0.13,0.21,0.24
51,0.48,0.17,0.24,0.13,0.21,0.25
52,0.47,0.16,0.23,0.14,0.22,0.25
53,0.51,0.17,0.24,0.15,0.21,0.23
54,0.46,0.15,0.26,0.14,0.21,0.24
55,0.48,0.15,0.27,0.13,0.2,0.25
56,0.46,0.15,0.29,0.11,0.19,0.26
57,0.42,0.18,0.26,0.12,0.2,0.24
58,0.48,0.18,0.28,0.13,0.18,0.23
59,0.43,0.18,0.28,0.13,0.18,0.23
60,0.44,0.15,0.27,0.15,0.2,0.23
61,0.49,0.14,0.26,0.16,0.21,0.23
62,0.5,0.14,0.24,0.16,0.19,0.27
63,0.48,0.13,0.23,0.18,0.2,0.26
64,0.53,0.14,0.23,0.17,0.2,0.26
65,0.49,0.14,0.23,0.16,0.2,0.27
66,0.5,0.19,0.21,0.16,0.18,0.26
67,0.5,0.23,0.19,0.16,0.18,0.24
68,0.47,0.24,0.22,0.15,0.17,0.22
69,0.43,0.21,0.23,0.15,0.18,0.23
70,0.46,0.23,0.24,0.14,0.17,0.22
71,0.39,0.23,0.25,0.13,0.17,0.22
72,0.4,0.22,0.23,0.14,0.17,0.24
73,0.45,0.24,0.22,0.14,0.16,0.24
74,0.42,0.23,0.24,0.16,0.17,0.2
75,0.41,0.24,0.24,0.16,0.17,0.19
76,0.44,0.24,0.23,0.16,0.18,0.19
77,0.46,0.21,0.22,0.16,0.19,0.22
78,0.51,0.16,0.25,0.18,0.21,0.2
79,0.5,0.14,0.25,0.18,0.23,0.2
80,0.49,0.17,0.24,0.17,0.23,0.19
81,0.52,0.17,0.22,0.17,0.25,0.19
82,0.58,0.18,0.21,0.17,0.25,0.19
83,0.49,0.2,0.2,0.17,0.24,0.19
84,0.51,0.2,0.2,0.18,0.26,0.16
85,0.49,0.2,0.21,0.18,0.26,0.15
86,0.51,0.22,0.2,0.18,0.26,0.14
87,0.53,0.21,0.22,0.18,0.26,0.13
88,0.5,0.2,0.22,0.17,0.26,0.15
89,0.51,0.2,0.23,0.16,0.26,0.15
90,0.47,0.2,0.21,0.16,0.27,0.16
91,0.5,0.2,0.2,0.17,0.26,0.17
92,0.55,0.2,0.2,0.18,0.26,0.16
93,0.51,0.22,0.2,0.19,0.25,0.14
94,0.49,0.21,0.22,0.19,0.25,0.13
95,0.53,0.22,0.22,0.19,0.24,0.13
96,0.5,0.21,0.22,0.2,0.23,0.14
97,0.47,0.21,0.24,0.19,0.24,0.12
98,0.49,0.2,0.25,0.2,0.25,0.1
99,0.5,0.2,0.23,0.2,0.26,0.11
