paso,cooperacion_global,E,P,O,A,R
0,0.36,0.31,0.12,0.25,0.18,0.14
1,0.38,0.31,0.12,0.25,0.18,0.14
2,0.35,0.31,0.12,0.25,0.18,0.14
3,0.4,0.32,0.12,0.28,0.15,0.13
4,0.33,0.33,0.14,0.28,0.13,0.12
5,0.31,0.34,0.12,0.28,0.12,0.14
6,0.31,0.32,0.12,0.28,0.12,0.16
7,0.32,0.33,0.12,0.27,0.12,0.16
8,0.32,0.32,0.11,0.3,0.12,0.15
9,0.32,0.29,0.12,0.28,0.15,0.16
10,0.35,0.27,0.13,0.27,0.16,0.17
11,0.38,0.25,0.14,0.28,0.16,0.17
12,0.38,0.23,0.13,0.3,0.16,0.18
13,0.39,0.2,0.14,0.32,0.16,0.18
14,0.38,0.21,0.15,0.32,0.15,0.17
15,0.43,0.21,0.14,0.34,0.15,0.16
16,0.34,0.18,0.16,0.34,0.16,0.16
17,0.42,0.17,0.18,0.31,0.17,0.17
18,0.45,0.18,0.17,0.32,0.16,0.17
19,0.44,0.21,0.16,0.31,0.15,0.17
20,0.41,0.19,0.14,0.32,0.16,0.19
21,0.36,0.21,0.13,0.32,0.15,0.19
22,0.36,0.22,0.14,0.3,0.14,0.2
23,0.36,0.23,0.13,0.28,0.15,0.21
24,0.39,0.24,0.14,0.26,0.16,0.2
25,0.42,0.24,0.14,0.25,0.17,0.2
26,0.38,0.23,0.16,0.22,0.18,0.21
27,0.43,0.23,0.17,0.21,0.18,0.21
28,0.45,0.21,0.19,0.21,0.2,0.19
29,0.47,0.22,0.17,0.21,0.2,0.2
30,0.45,0.2,0.18,0.21,0.21,0.2
31,0.5,0.22,0.16,0.23,0.22,0.17
32,0.41,0.24,0.15,0.23,0.21,0.17
33,0.43,0.25,0.15,0.22,0.21,0.17
34,0.44,0.21,0.18,0.2,0.21,0.2
35,0.49,0.23,0.17,0.21,0.2,0.19
36,0.45,0.24,0.16,0.22,0.2,0.18
37,0.46,0.26,0.18,0.23,0.19,0.14
38,0.44,0.24,0.18,0.26,0.18,0.14
39,0.39,0.25,0.16,0.26,0.18,0.15
40,0.43,0.26,0.15,0.28,0.16,0.15
41,0.39,0.24,0.16,0.3,0.15,0.15
42,0.36,0.23,0.15,0.34,0.15,0.13
43,0.4,0.23,0.14,0.37,0.13,0.13
44,0.34,0.23,0.12,0.4,0.13,0.12
45,0.34,0.25,0.11,0.4,0.13,0.11
46,0.29,0.25,0.1,0.42,0.13,0.1
47,0.26,0.25,0.1,0.41,0.15,0.09
48,0.29,0.24,0.09,0.42,0.16,0.09
49,0.31,0.23,0.07,0.46,0.16,0.08
50,0.68,0.22,0.1,0.45,0.15,0.08
51,0.63,0.2,0.11,0.45,0.15,0.09
52,0.65,0.17,0.13,0.45,0.16,0.09
53,0.69,0.16,0.13,0.47,0.16,0.08
54,0.69,0.17,0.14,0.44,0.16,0.09
55,0.65,0.17,0.14,0.44,0.16,0.09
56,0.66,0.18,0.13,0.45,0.15,0.09
57,0.63,0.18,0.13,0.45,0.15,0.09
58,0.64,0.21,0.12,0.43,0.16,0.08
59,0.63,0.2,0.12,0.43,0.18,0.07
60,0.64,0.17,0.13,0.44,0.2,0.06
61,0.68,0.18,0.12,0.43,0.21,0.06
62,0.66,0.14,0.13,0.46,0.21,0.06
63,0.7,0.12,0.13,0.47,0.22,0.06
64,0.72,0.11,0.13,0.47,0.23,0.06
65,0.73,0.11,0.13,0.46,0.23,0.07
66,0.73,0.09,0.13,0.48,0.23,0.07
67,0.72,0.08,0.11,0.49,0.23,0.09
68,0.76,0.05,0.12,0.55,0.22,0.06
69,0.78,0.04,0.12,0.56,0.22,0.06
70,0.82,0.03,0.12,0.57,0.22,0.06
71,0.83,0.03,0.13,0.56,0.21,0.07
72,0.82,0.03,0.11,0.58,0.21,0.07
73,0.82,0.04,0.11,0.57,0.21,0.07
74,0.83,0.02,0.11,0.57,0.23,0.07
75,0.82,0.01,0.09,0.61,0.22,0.07
76,0.86,0.01,0.07,0.62,0.23,0.07
77,0.89,0.01,0.07,0.61,0.24,0.07
78,0.89,0.01,0.06,0.64,0.23,0.06
79,0.91,0.01,0.06,0.64,0.26,0.03
80,0.92,0.0,0.04,0.67,0.27,0.02
81,0.95,0.0,0.04,0.69,0.26,0.01
82,0.95,0.0,0.03,0.72,0.24,0.01
83,0.97,0.0,0.03,0.71,0.25,0.01
84,0.97,0.0,0.04,0.7,0.25,0.01
85,0.96,0.0,0.04,0.69,0.26,0.01
86,0.96,0.0,0.04,0.68,0.26,0.02
87,0.96,0.0,0.04,0.69,0.25,0.02
88,0.95,0.0,0.03,0.7,0.25,0.02
89,0.96,0.0,0.02,0.7,0.26,0.02
90,0.97,0.0,0.02,0.71,0.26,0.01
91,0.98,0.0,0.02,0.7,0.27,0.01
92,0.98,0.0,0.0,0.71,0.28,0.01
93,0.99,0.0,0.0,0.71,0.28,0.01
94,1.0,0.0,0.0,0.72,0.27,0.01
95,1.0,0.0,0.0,0.73,0.27,0.0
96,1.0,0.0,0.0,0.74,0.26,0.0
97,1.0,0.0,0.0,0.75,0.25,0.0
98,1.0,0.0,0.0,0.76,0.24,0.0
99,1.0,0.0,0.0,0.75,0.25,0.0
