paso,cooperacion_global,E,P,O,A,R
0,0.37,0.3,0.21,0.22,0.13,0.14
1,0.43,0.3,0.21,0.22,0.13,0.14
2,0.4,0.3,0.21,0.22,0.13,0.14
3,0.4,0.35,0.18,0.21,0.13,0.13
4,0.37,0.37,0.18,0.2,0.12,0.13
5,0.38,0.41,0.15,0.21,0.11,0.12
6,0.34,0.43,0.15,0.18,0.13,0.11
7,0.32,0.41,0.14,0.18,0.13,0.14
8,0.36,0.42,0.16,0.16,0.13,0.13
9,0.36,0.42,0.15,0.17,0.14,0.12
10,0.36,0.39,0.16,0.17,0.17,0.11
11,0.38,0.41,0.16,0.16,0.17,0.1
12,0.37,0.4,0.15,0.17,0.18,0.1
13,0.37,0.42,0.15,0.15,0.19,0.09
14,0.4,0.44,0.16,0.16,0.17,0.07
15,0.39,0.45,0.15,0.15,0.18,0.07
16,0.39,0.42,0.17,0.13,0.2,0.08
17,0.42,0.45,0.17,0.12,0.19,0.07
18,0.4,0.43,0.19,0.11,0.19,0.08
19,0.42,0.45,0.2,0.09,0.19,0.07
20,0.41,0.43,0.2,0.12,0.17,0.08
21,0.4,0.41,0.21,0.13,0.16,0.09
22,0.42,0.41,0.19,0.14,0.17,0.09
23,0.4,0.36,0.17,0.17,0.17,0.13
24,0.41,0.39,0.17,0.16,0.15,0.13
25,0.4,0.35,0.2,0.15,0.15,0.15
26,0.42,0.35,0.2,0.15,0.15,0.15
27,0.4,0.35,0.18,0.16,0.15,0.16
28,0.4,0.33,0.18,0.21,0.15,0.13
29,0.4,0.37,0.18,0.21,0.13,0.11
30,0.38,0.35,0.18,0.23,0.12,0.12
31,0.37,0.32,0.2,0.23,0.13,0.12
32,0.38,0.33,0.23,0.2,0.11,0.13
33,0.42,0.34,0.23,0.2,0.11,0.12
34,0.4,0.33,0.22,0.2,0.12,0.13
35,0.38,0.34,0.22,0.2,0.12,0.12
36,0.39,0.35,0.22,0.2,0.12,0.11
37,0.4,0.33,0.22,0.23,0.12,0.1
38,0.39,0.34,0.21,0.23,0.13,0.09
39,0.4,0.33,0.23,0.21,0.14,0.09
40,0.41,0.35,0.23,0.2,0.12,0.1
41,0.41,0.39,0.23,0.17,0.12,0.09
42,0.4,0.41,0.21,0.18,0.1,0.1
43,0.36,0.41,0.23,0.16,0.09,0.11
44,0.35,0.42,0.24,0.15,0.09,0.1
45,0.38,0.41,0.25,0.15,0.09,0.1
46,0.37,0.39,0.26,0.14,0.09,0.12
47,0.41,0.41,0.27,0.12,0.08,0.12
48,0.4,0.4,0.27,0.13,0.08,0.12
49,0.43,0.4,0.26,0.14,0.08,0.12
50,0.29,0.4,0.26,0.16,0.06,0.12
51,0.29,0.44,0.25,0.14,0.05,0.12
52,0.26,0.44,0.26,0.13,0.05,0.12
53,0.25,0.43,0.27,0.12,0.07,0.11
54,0.25,0.4,0.29,0.13,0.08,0.1
55,0.25,0.41,0.3,0.13,0.07,0.09
56,0.22,0.4,0.31,0.13,0.08,0.08
57,0.25,0.41,0.3,0.12,0.08,0.09
58,0.26,0.41,0.29,0.13,0.07,0.1
59,0.25,0.44,0.28,0.13,0.06,0.09
60,0.21,0.45,0.27,0.13,0.06,0.09
61,0.27,0.47,0.29,0.13,0.04,0.07
62,0.21,0.45,0.32,0.12,0.05,0.06
63,0.2,0.44,0.33,0.12,0.05,0.06
64,0.21,0.45,0.34,0.11,0.05,0.05
65,0.19,0.45,0.36,0.1,0.03,0.06
66,0.15,0.44,0.38,0.09,0.03,0.06
67,0.14,0.45,0.37,0.09,0.03,0.06
68,0.16,0.46,0.36,0.09,0.03,0.06
69,0.15,0.42,0.4,0.09,0.03,0.06
70,0.15,0.44,0.41,0.07,0.02,0.06
71,0.12,0.44,0.42,0.06,0.02,0.06
72,0.12,0.42,0.45,0.04,0.03,0.06
73,0.09,0.42,0.45,0.04,0.02,0.07
74,0.08,0.42,0.43,0.04,0.02,0.09
75,0.11,0.44,0.41,0.04,0.02,0.09
76,0.09,0.45,0.39,0.05,0.03,0.08
77,0.12,0.44,0.4,0.05,0.03,0.08
78,0.12,0.47,0.37,0.05,0.03,0.08
79,0.11,0.48,0.36,0.05,0.03,0.08
80,0.12,0.5,0.36,0.05,0.03,0.06
81,0.13,0.51,0.35,0.06,0.03,0.05
82,0.1,0.53,0.34,0.06,0.03,0.04
83,0.11,0.54,0.34,0.07,0.02,0.03
84,0.11,0.52,0.36,0.07,0.02,0.03
85,0.12,0.49,0.39,0.07,0.02,0.03
86,0.11,0.48,0.41,0.07,0.02,0.02
87,0.1,0.49,0.41,0.07,0.01,0.02
88,0.1,0.51,0.39,0.07,0.01,0.02
89,0.09,0.5,0.4,0.08,0.01,0.01
90,0.1,0.49,0.41,0.08,0.01,0.01
91,0.1,0.48,0.43,0.08,0.01,0.0
92,0.09,0.47,0.43,0.08,0.02,0.0
93,0.1,0.47,0.43,0.08,0.02,0.0
94,0.1,0.5,0.39,0.09,0.02,0.0
95,0.11,0.5,0.39,0.09,0.02,0.0
96,0.11,0.51,0.38,0.09,0.02,0.0
97,0.11,0.5,0.39,0.09,0.02,0.0
98,0.11,0.51,0.38,0.09,0.02,0.0
99,0.11,0.52,0.37,0.09,0.02,0.0
