paso,cooperacion_global,E,P,O,A,R
0,0.53,0.19,0.26,0.17,0.17,0.21
1,0.49,0.19,0.26,0.17,0.17,0.21
2,0.53,0.19,0.26,0.17,0.17,0.21
3,0.53,0.21,0.23,0.2,0.18,0.18
4,0.47,0.22,0.21,0.18,0.2,0.19
5,0.49,0.21,0.19,0.2,0.2,0.2
6,0.47,0.2,0.19,0.2,0.2,0.21
7,0.47,0.18,0.2,0.17,0.23,0.22
8,0.52,0.2,0.19,0.17,0.24,0.2
9,0.55,0.22,0.18,0.19,0.22,0.19
10,0.51,0.24,0.16,0.23,0.2,0.17
11,0.44,0.24,0.17,0.24,0.19,0.16
12,0.43,0.25,0.18,0.24,0.18,0.15
13,0.43,0.24,0.18,0.23,0.2,0.15
14,0.41,0.26,0.19,0.22,0.19,0.14
15,0.48,0.27,0.2,0.19,0.2,0.14
16,0.46,0.27,0.19,0.18,0.22,0.14
17,0.49,0.27,0.2,0.17,0.22,0.14
18,0.5,0.28,0.2,0.17,0.21,0.14
19,0.49,0.28,0.2,0.17,0.2,0.15
20,0.49,0.28,0.22,0.18,0.19,0.13
21,0.45,0.27,0.21,0.19,0.19,0.14
22,0.45,0.27,0.21,0.21,0.18,0.13
23,0.48,0.29,0.19,0.21,0.19,0.12
24,0.46,0.27,0.2,0.21,0.2,0.12
25,0.48,0.28,0.19,0.24,0.17,0.12
26,0.4,0.28,0.18,0.24,0.17,0.13
27,0.44,0.29,0.18,0.25,0.16,0.12
28,0.41,0.28,0.17,0.26,0.16,0.13
29,0.39,0.29,0.17,0.25,0.16,0.13
30,0.36,0.3,0.17,0.23,0.18,0.12
31,0.4,0.3,0.17,0.2,0.2,0.13
32,0.45,0.27,0.19,0.2,0.19,0.15
33,0.49,0.26,0.19,0.22,0.19,0.14
34,0.45,0.25,0.17,0.26,0.18,0.14
35,0.4,0.24,0.17,0.27,0.17,0.15
36,0.4,0.27,0.15,0.25,0.15,0.18
37,0.37,0.29,0.15,0.23,0.15,0.18
38,0.4,0.3,0.15,0.21,0.15,0.19
39,0.42,0.32,0.14,0.21,0.14,0.19
40,0.37,0.31,0.14,0.21,0.15,0.19
41,0.37,0.29,0.15,0.22,0.16,0.18
42,0.39,0.3,0.15,0.2,0.17,0.18
43,0.45,0.3,0.13,0.18,0.18,0.21
44,0.43,0.32,0.14,0.16,0.16,0.22
45,0.39,0.31,0.14,0.15,0.16,0.24
46,0.43,0.33,0.14,0.12,0.17,0.24
47,0.45,0.32,0.14,0.11,0.18,0.25
48,0.41,0.32,0.14,0.1,0.18,0.26
49,0.41,0.31,0.15,0.1,0.18,0.26
50,0.41,0.3,0.14,0.1,0.18,0.28
51,0.42,0.3,0.14,0.08,0.17,0.31
52,0.4,0.32,0.12,0.09,0.16,0.31
53,0.39,0.34,0.1,0.09,0.14,0.33
54,0.4,0.36,0.1,0.08,0.13,0.33
55,0.39,0.37,0.09,0.07,0.13,0.34
56,0.36,0.39,0.08,0.08,0.15,0.3
57,0.39,0.38,0.07,0.09,0.15,0.31
58,0.4,0.38,0.04,0.11,0.15,0.32
59,0.4,0.37,0.05,0.12,0.15,0.31
60,0.41,0.38,0.04,0.11,0.15,0.32
61,0.46,0.37,0.04,0.11,0.16,0.32
62,0.41,0.32,0.05,0.11,0.19,0.33
63,0.46,0.32,0.06,0.11,0.19,0.32
64,0.44,0.32,0.07,0.12,0.18,0.31
65,0.49,0.3,0.07,0.12,0.19,0.32
66,0.47,0.3,0.06,0.14,0.19,0.31
67,0.48,0.26,0.07,0.14,0.21,0.32
68,0.52,0.26,0.06,0.15,0.2,0.33
69,0.5,0.24,0.05,0.17,0.19,0.35
70,0.53,0.25,0.06,0.17,0.18,0.34
71,0.57,0.27,0.05,0.17,0.17,0.34
72,0.54,0.27,0.05,0.17,0.17,0.34
73,0.54,0.25,0.05,0.19,0.12,0.39
74,0.52,0.24,0.06,0.18,0.12,0.4
75,0.52,0.27,0.06,0.16,0.1,0.41
76,0.46,0.29,0.06,0.15,0.09,0.41
77,0.45,0.3,0.06,0.15,0.09,0.4
78,0.43,0.29,0.05,0.15,0.08,0.43
79,0.46,0.31,0.05,0.14,0.07,0.43
80,0.42,0.29,0.05,0.16,0.07,0.43
81,0.48,0.28,0.05,0.16,0.06,0.45
82,0.43,0.3,0.05,0.16,0.06,0.43
83,0.4,0.31,0.05,0.16,0.05,0.43
84,0.38,0.31,0.04,0.14,0.03,0.48
85,0.41,0.32,0.04,0.15,0.03,0.46
86,0.44,0.31,0.04,0.16,0.03,0.46
87,0.48,0.32,0.04,0.17,0.03,0.44
88,0.4,0.33,0.04,0.18,0.02,0.43
89,0.41,0.35,0.04,0.18,0.02,0.41
90,0.43,0.35,0.05,0.18,0.02,0.4
91,0.41,0.36,0.05,0.18,0.02,0.39
92,0.35,0.38,0.05,0.17,0.01,0.39
93,0.39,0.37,0.04,0.17,0.01,0.41
94,0.4,0.37,0.03,0.17,0.0,0.43
95,0.4,0.39,0.03,0.17,0.0,0.41
96,0.4,0.38,0.03,0.19,0.0,0.4
97,0.42,0.36,0.03,0.19,0.0,0.42
98,0.5,0.37,0.03,0.19,0.0,0.41
99,0.4,0.37,0.03,0.19,0.0,0.41
