paso,cooperacion_global,E,P,O,A,R
0,0.53,0.2,0.14,0.21,0.23,0.22
1,0.45,0.2,0.14,0.21,0.23,0.22
2,0.48,0.2,0.14,0.21,0.23,0.22
3,0.46,0.2,0.1,0.23,0.23,0.24
4,0.45,0.19,0.08,0.24,0.22,0.27
5,0.45,0.19,0.09,0.24,0.21,0.27
6,0.4,0.19,0.08,0.24,0.21,0.28
7,0.45,0.22,0.09,0.24,0.18,0.27
8,0.42,0.21,0.08,0.29,0.16,0.26
9,0.32,0.2,0.09,0.27,0.16,0.28
10,0.39,0.18,0.1,0.29,0.16,0.27
11,0.39,0.18,0.1,0.28,0.15,0.29
12,0.39,0.15,0.1,0.29,0.14,0.32
13,0.4,0.16,0.1,0.32,0.12,0.3
14,0.37,0.18,0.09,0.35,0.1,0.28
15,0.34,0.17,0.09,0.35,0.11,0.28
16,0.38,0.19,0.09,0.34,0.12,0.26
17,0.29,0.2,0.09,0.31,0.13,0.27
18,0.37,0.19,0.08,0.35,0.11,0.27
19,0.31,0.17,0.09,0.33,0.11,0.3
20,0.33,0.19,0.09,0.32,0.1,0.3
21,0.33,0.18,0.12,0.31,0.08,0.31
22,0.39,0.18,0.13,0.29,0.08,0.32
23,0.37,0.21,0.13,0.29,0.07,0.3
24,0.34,0.18,0.13,0.3,0.09,0.3
25,0.37,0.17,0.14,0.29,0.09,0.31
26,0.39,0.16,0.15,0.26,0.09,0.34
27,0.42,0.17,0.15,0.25,0.08,0.35
28,0.42,0.19,0.18,0.2,0.08,0.35
29,0.43,0.21,0.19,0.22,0.06,0.32
30,0.41,0.21,0.19,0.21,0.06,0.33
31,0.43,0.21,0.18,0.23,0.06,0.32
32,0.43,0.2,0.17,0.24,0.08,0.31
33,0.4,0.2,0.18,0.24,0.09,0.29
34,0.42,0.2,0.18,0.25,0.09,0.28
35,0.43,0.21,0.18,0.23,0.09,0.29
36,0.46,0.22,0.18,0.23,0.08,0.29
37,0.44,0.2,0.17,0.27,0.08,0.28
38,0.44,0.2,0.18,0.25,0.07,0.3
39,0.37,0.18,0.22,0.25,0.07,0.28
40,0.37,0.18,0.21,0.25,0.06,0.3
41,0.38,0.19,0.21,0.26,0.05,0.29
42,0.39,0.19,0.21,0.26,0.05,0.29
43,0.42,0.18,0.23,0.24,0.05,0.3
44,0.48,0.16,0.26,0.24,0.05,0.29
45,0.47,0.16,0.27,0.23,0.05,0.29
46,0.44,0.15,0.26,0.22,0.05,0.32
47,0.46,0.14,0.25,0.22,0.05,0.34
48,0.47,0.14,0.22,0.26,0.06,0.32
49,0.47,0.15,0.21,0.26,0.06,0.32
50,0.47,0.14,0.2,0.27,0.06,0.33
51,0.5,0.12,0.18,0.3,0.05,0.35
52,0.56,0.1,0.15,0.33,0.05,0.37
53,0.62,0.11,0.15,0.31,0.06,0.37
54,0.55,0.1,0.16,0.3,0.07,0.37
55,0.56,0.09,0.18,0.3,0.07,0.36
56,0.51,0.1,0.18,0.28,0.09,0.35
57,0.56,0.11,0.18,0.27,0.1,0.34
58,0.54,0.12,0.17,0.25,0.11,0.35
59,0.55,0.11,0.14,0.28,0.1,0.37
60,0.59,0.12,0.13,0.29,0.11,0.35
61,0.61,0.12,0.13,0.29,0.12,0.34
62,0.62,0.14,0.13,0.3,0.11,0.32
63,0.56,0.13,0.13,0.29,0.11,0.34
64,0.53,0.11,0.12,0.29,0.12,0.36
65,0.62,0.1,0.11,0.3,0.13,0.36
66,0.63,0.09,0.1,0.34,0.14,0.33
67,0.6,0.11,0.12,0.36,0.14,0.27
68,0.64,0.1,0.09,0.39,0.14,0.28
69,0.63,0.11,0.09,0.38,0.15,0.27
70,0.68,0.1,0.09,0.35,0.18,0.28
71,0.72,0.11,0.09,0.36,0.2,0.24
72,0.7,0.1,0.1,0.37,0.2,0.23
73,0.7,0.09,0.1,0.37,0.2,0.24
74,0.67,0.09,0.1,0.38,0.21,0.22
75,0.68,0.09,0.1,0.37,0.21,0.23
76,0.67,0.09,0.12,0.36,0.22,0.21
77,0.68,0.1,0.12,0.36,0.21,0.21
78,0.67,0.11,0.13,0.35,0.22,0.19
79,0.68,0.1,0.12,0.37,0.22,0.19
80,0.71,0.08,0.12,0.38,0.22,0.2
81,0.74,0.08,0.12,0.39,0.22,0.19
82,0.67,0.08,0.14,0.41,0.19,0.18
83,0.66,0.05,0.15,0.41,0.2,0.19
84,0.71,0.05,0.13,0.42,0.2,0.2
85,0.73,0.06,0.14,0.43,0.18,0.19
86,0.67,0.04,0.15,0.44,0.18,0.19
87,0.68,0.06,0.15,0.44,0.18,0.17
88,0.72,0.07,0.16,0.42,0.17,0.18
89,0.7,0.07,0.14,0.41,0.17,0.21
90,0.69,0.07,0.11,0.41,0.2,0.21
91,0.73,0.08,0.1,0.42,0.19,0.21
92,0.7,0.07,0.1,0.43,0.21,0.19
93,0.72,0.06,0.11,0.42,0.22,0.19
94,0.72,0.06,0.12,0.42,0.21,0.19
95,0.74,0.06,0.11,0.43,0.22,0.18
96,0.76,0.06,0.13,0.43,0.19,0.19
97,0.71,0.05,0.13,0.43,0.2,0.19
98,0.75,0.04,0.13,0.43,0.2,0.2
99,0.73,0.04,0.15,0.44,0.2,0.17
