paso,cooperacion_global,E,P,O,A,R
0,0.41,0.34,0.22,0.19,0.13,0.12
1,0.44,0.34,0.22,0.19,0.13,0.12
2,0.4,0.34,0.22,0.19,0.13,0.12
3,0.37,0.31,0.25,0.18,0.13,0.13
4,0.41,0.31,0.25,0.17,0.13,0.14
5,0.44,0.32,0.25,0.18,0.13,0.12
6,0.45,0.33,0.24,0.17,0.12,0.14
7,0.44,0.34,0.23,0.16,0.12,0.15
8,0.4,0.31,0.21,0.15,0.15,0.18
9,0.47,0.34,0.17,0.15,0.16,0.18
10,0.44,0.32,0.16,0.16,0.16,0.2
11,0.45,0.31,0.17,0.15,0.16,0.21
12,0.4,0.29,0.17,0.15,0.17,0.22
13,0.44,0.33,0.15,0.14,0.15,0.23
14,0.39,0.35,0.14,0.14,0.14,0.23
15,0.38,0.38,0.13,0.12,0.12,0.25
16,0.36,0.37,0.13,0.12,0.12,0.26
17,0.37,0.39,0.12,0.11,0.12,0.26
18,0.36,0.4,0.11,0.14,0.12,0.23
19,0.37,0.43,0.11,0.12,0.12,0.22
20,0.33,0.42,0.12,0.1,0.1,0.26
21,0.36,0.4,0.13,0.1,0.1,0.27
22,0.41,0.4,0.11,0.11,0.09,0.29
23,0.32,0.37,0.12,0.1,0.08,0.33
24,0.31,0.35,0.12,0.12,0.08,0.33
25,0.35,0.31,0.13,0.13,0.08,0.35
26,0.44,0.32,0.13,0.12,0.08,0.35
27,0.39,0.34,0.13,0.09,0.09,0.35
28,0.42,0.35,0.13,0.09,0.08,0.35
29,0.4,0.34,0.12,0.1,0.08,0.36
30,0.42,0.36,0.13,0.1,0.06,0.35
31,0.44,0.37,0.13,0.08,0.06,0.36
32,0.38,0.37,0.13,0.09,0.06,0.35
33,0.4,0.37,0.14,0.08,0.06,0.35
34,0.32,0.37,0.15,0.09,0.06,0.33
35,0.38,0.38,0.14,0.1,0.06,0.32
36,0.32,0.41,0.12,0.1,0.05,0.32
37,0.29,0.43,0.12,0.11,0.05,0.29
38,0.4,0.42,0.12,0.11,0.06,0.29
39,0.31,0.43,0.12,0.1,0.06,0.29
40,0.33,0.41,0.12,0.11,0.06,0.3
41,0.32,0.41,0.11,0.11,0.06,0.31
42,0.33,0.43,0.11,0.1,0.06,0.3
43,0.34,0.44,0.11,0.09,0.05,0.31
44,0.34,0.47,0.11,0.07,0.05,0.3
45,0.33,0.47,0.11,0.08,0.05,0.29
46,0.29,0.47,0.12,0.08,0.05,0.28
47,0.26,0.45,0.14,0.06,0.05,0.3
48,0.37,0.44,0.14,0.07,0.04,0.31
49,0.31,0.47,0.14,0.06,0.04,0.29
50,0.22,0.49,0.14,0.06,0.04,0.27
51,0.25,0.48,0.14,0.05,0.03,0.3
52,0.25,0.49,0.13,0.06,0.02,0.3
53,0.26,0.52,0.12,0.06,0.01,0.29
54,0.19,0.55,0.1,0.06,0.01,0.28
55,0.17,0.61,0.06,0.06,0.01,0.26
56,0.22,0.6,0.07,0.05,0.01,0.27
57,0.2,0.61,0.07,0.05,0.0,0.27
58,0.19,0.61,0.08,0.05,0.0,0.26
59,0.14,0.59,0.09,0.05,0.0,0.27
60,0.2,0.57,0.09,0.06,0.0,0.28
61,0.19,0.59,0.07,0.06,0.0,0.28
62,0.19,0.57,0.07,0.07,0.0,0.29
63,0.18,0.58,0.08,0.07,0.0,0.27
64,0.21,0.58,0.07,0.07,0.0,0.28
65,0.17,0.59,0.07,0.07,0.0,0.27
66,0.19,0.58,0.08,0.07,0.0,0.27
67,0.24,0.57,0.08,0.08,0.0,0.27
68,0.18,0.57,0.08,0.07,0.0,0.28
69,0.17,0.57,0.08,0.07,0.0,0.28
70,0.26,0.58,0.07,0.07,0.0,0.28
71,0.22,0.59,0.06,0.05,0.0,0.3
72,0.21,0.58,0.06,0.06,0.0,0.3
73,0.21,0.59,0.05,0.05,0.0,0.31
74,0.21,0.58,0.06,0.04,0.0,0.32
75,0.14,0.59,0.06,0.04,0.0,0.31
76,0.17,0.58,0.07,0.04,0.0,0.31
77,0.21,0.58,0.07,0.04,0.0,0.31
78,0.17,0.59,0.06,0.04,0.0,0.31
79,0.17,0.59,0.06,0.04,0.0,0.31
80,0.24,0.59,0.05,0.03,0.0,0.33
81,0.17,0.58,0.05,0.02,0.0,0.35
82,0.22,0.58,0.05,0.02,0.0,0.35
83,0.24,0.58,0.05,0.02,0.0,0.35
84,0.22,0.58,0.05,0.02,0.0,0.35
85,0.19,0.58,0.05,0.02,0.0,0.35
86,0.22,0.57,0.06,0.01,0.0,0.36
87,0.26,0.58,0.05,0.01,0.0,0.36
88,0.17,0.57,0.05,0.01,0.0,0.37
89,0.23,0.57,0.05,0.01,0.0,0.37
90,0.21,0.57,0.05,0.01,0.0,0.37
91,0.21,0.56,0.06,0.01,0.0,0.37
92,0.24,0.56,0.07,0.01,0.0,0.36
93,0.16,0.54,0.08,0.01,0.0,0.37
94,0.14,0.54,0.08,0.01,0.0,0.37
95,0.2,0.54,0.08,0.01,0.0,0.37
96,0.21,0.55,0.08,0.01,0.0,0.36
97,0.2,0.57,0.07,0.01,0.0,0.35
98,0.18,0.59,0.07,0.01,0.0,0.33
99,0.17,0.58,0.07,0.01,0.0,0.34
