paso,cooperacion_global,E,P,O,A,R
0,0.8,0.03,0.63,0.11,0.14,0.09
1,0.83,0.03,0.63,0.11,0.14,0.09
2,0.82,0.03,0.63,0.11,0.14,0.09
3,0.8,0.04,0.59,0.13,0.14,0.1
4,0.76,0.04,0.59,0.14,0.14,0.09
5,0.78,0.04,0.57,0.19,0.11,0.09
6,0.71,0.04,0.55,0.21,0.11,0.09
7,0.74,0.03,0.54,0.22,0.11,0.1
8,0.7,0.03,0.49,0.27,0.1,0.11
9,0.65,0.03,0.48,0.31,0.1,0.08
10,0.65,0.03,0.45,0.32,0.11,0.09
11,0.6,0.05,0.44,0.29,0.12,0.1
12,0.62,0.05,0.47,0.25,0.12,0.11
13,0.62,0.05,0.45,0.26,0.13,0.11
14,0.64,0.05,0.44,0.27,0.13,0.11
15,0.63,0.04,0.41,0.29,0.14,0.12
16,0.63,0.04,0.42,0.29,0.13,0.12
17,0.6,0.06,0.41,0.28,0.13,0.12
18,0.59,0.07,0.39,0.28,0.14,0.12
19,0.57,0.06,0.38,0.29,0.15,0.12
20,0.57,0.08,0.35,0.33,0.12,0.12
21,0.52,0.09,0.36,0.34,0.11,0.1
22,0.48,0.09,0.35,0.34,0.1,0.12
23,0.5,0.12,0.34,0.34,0.09,0.11
24,0.48,0.12,0.34,0.33,0.1,0.11
25,0.5,0.13,0.34,0.29,0.13,0.11
26,0.55,0.12,0.35,0.27,0.14,0.12
27,0.58,0.11,0.36,0.26,0.15,0.12
28,0.57,0.12,0.38,0.23,0.16,0.11
29,0.61,0.12,0.37,0.22,0.17,0.12
30,0.62,0.13,0.36,0.24,0.16,0.11
31,0.56,0.1,0.4,0.21,0.18,0.11
32,0.63,0.08,0.39,0.23,0.19,0.11
33,0.65,0.08,0.4,0.2,0.2,0.12
34,0.65,0.08,0.4,0.21,0.19,0.12
35,0.63,0.09,0.4,0.21,0.18,0.12
36,0.66,0.09,0.4,0.21,0.18,0.12
37,0.65,0.08,0.45,0.21,0.15,0.11
38,0.64,0.1,0.45,0.19,0.16,0.1
39,0.66,0.09,0.44,0.23,0.13,0.11
40,0.64,0.09,0.45,0.25,0.1,0.11
41,0.58,0.08,0.46,0.27,0.09,0.1
42,0.59,0.06,0.49,0.28,0.07,0.1
43,0.61,0.06,0.46,0.28,0.08,0.12
44,0.59,0.06,0.45,0.27,0.08,0.14
45,0.6,0.07,0.44,0.26,0.08,0.15
46,0.57,0.07,0.43,0.27,0.08,0.15
47,0.55,0.06,0.43,0.29,0.06,0.16
48,0.57,0.06,0.46,0.27,0.06,0.15
49,0.59,0.04,0.48,0.28,0.05,0.15
50,0.38,0.03,0.5,0.26,0.05,0.16
51,0.36,0.03,0.47,0.28,0.05,0.17
52,0.4,0.03,0.46,0.27,0.07,0.17
53,0.44,0.03,0.47,0.27,0.07,0.16
54,0.42,0.01,0.48,0.28,0.07,0.16
55,0.41,0.01,0.5,0.27,0.07,0.15
56,0.42,0.01,0.49,0.26,0.07,0.17
57,0.42,0.01,0.47,0.27,0.08,0.17
58,0.45,0.01,0.51,0.23,0.08,0.17
59,0.4,0.01,0.51,0.24,0.08,0.16
60,0.4,0.02,0.51,0.23,0.09,0.15
61,0.44,0.02,0.51,0.23,0.09,0.15
62,0.41,0.02,0.52,0.25,0.09,0.12
63,0.4,0.02,0.53,0.24,0.09,0.12
64,0.38,0.02,0.54,0.22,0.1,0.12
65,0.4,0.02,0.52,0.23,0.11,0.12
66,0.37,0.02,0.53,0.22,0.11,0.12
67,0.39,0.02,0.53,0.22,0.12,0.11
68,0.37,0.01,0.54,0.23,0.12,0.1
69,0.37,0.01,0.55,0.2,0.13,0.11
70,0.36,0.01,0.52,0.21,0.14,0.12
71,0.42,0.01,0.51,0.19,0.15,0.14
72,0.39,0.01,0.49,0.18,0.15,0.17
73,0.37,0.01,0.43,0.18,0.15,0.23
74,0.48,0.01,0.43,0.19,0.14,0.23
75,0.42,0.01,0.43,0.18,0.12,0.26
76,0.41,0.01,0.41,0.19,0.14,0.25
77,0.44,0.01,0.39,0.19,0.14,0.27
78,0.45,0.01,0.41,0.17,0.15,0.26
79,0.45,0.01,0.41,0.15,0.15,0.28
80,0.46,0.0,0.39,0.16,0.17,0.28
81,0.47,0.0,0.4,0.18,0.18,0.24
82,0.48,0.0,0.4,0.18,0.18,0.24
83,0.46,0.0,0.43,0.16,0.17,0.24
84,0.48,0.0,0.44,0.16,0.16,0.24
85,0.46,0.0,0.44,0.15,0.16,0.25
86,0.41,0.0,0.43,0.14,0.18,0.25
87,0.47,0.0,0.44,0.14,0.19,0.23
88,0.42,0.0,0.44,0.14,0.2,0.22
89,0.45,0.0,0.45,0.13,0.19,0.23
90,0.43,0.0,0.46,0.14,0.18,0.22
91,0.45,0.0,0.45,0.15,0.17,0.23
92,0.45,0.0,0.46,0.14,0.17,0.23
93,0.43,0.0,0.46,0.14,0.19,0.21
94,0.45,0.0,0.42,0.17,0.19,0.22
95,0.48,0.0,0.42,0.16,0.21,0.21
96,0.48,0.0,0.42,0.16,0.2,0.22
97,0.43,0.0,0.42,0.15,0.22,0.21
98,0.5,0.0,0.41,0.16,0.23,0.2
99,0.52,0.0,0.41,0.14,0.23,0.22
