paso,cooperacion_global,E,P,O,A,R
0,0.42,0.37,0.23,0.15,0.14,0.11
1,0.41,0.37,0.23,0.15,0.14,0.11
2,0.43,0.37,0.23,0.15,0.14,0.11
3,0.45,0.37,0.21,0.15,0.15,0.12
4,0.43,0.36,0.22,0.15,0.15,0.12
5,0.43,0.36,0.23,0.16,0.15,0.1
6,0.43,0.38,0.23,0.16,0.13,0.1
7,0.41,0.38,0.23,0.15,0.13,0.11
8,0.42,0.44,0.23,0.12,0.12,0.09
9,0.41,0.44,0.24,0.1,0.11,0.11
10,0.41,0.46,0.24,0.09,0.09,0.12
11,0.39,0.45,0.23,0.1,0.11,0.11
12,0.39,0.46,0.22,0.09,0.11,0.12
13,0.38,0.47,0.22,0.08,0.12,0.11
14,0.42,0.47,0.22,0.08,0.12,0.11
15,0.38,0.47,0.2,0.09,0.13,0.11
16,0.38,0.49,0.19,0.09,0.13,0.1
17,0.36,0.48,0.19,0.09,0.14,0.1
18,0.38,0.51,0.18,0.09,0.11,0.11
19,0.36,0.49,0.18,0.11,0.1,0.12
20,0.35,0.5,0.18,0.11,0.1,0.11
21,0.35,0.48,0.18,0.12,0.1,0.12
22,0.38,0.46,0.19,0.12,0.1,0.13
23,0.31,0.46,0.2,0.1,0.11,0.13
24,0.39,0.46,0.2,0.1,0.11,0.13
25,0.39,0.46,0.21,0.11,0.1,0.12
26,0.37,0.46,0.21,0.1,0.11,0.12
27,0.36,0.46,0.2,0.1,0.11,0.13
28,0.39,0.5,0.2,0.09,0.1,0.11
29,0.39,0.51,0.18,0.11,0.09,0.11
30,0.32,0.54,0.13,0.14,0.08,0.11
31,0.27,0.55,0.13,0.13,0.08,0.11
32,0.29,0.54,0.13,0.13,0.08,0.12
33,0.27,0.54,0.13,0.13,0.08,0.12
34,0.28,0.55,0.13,0.12,0.08,0.12
35,0.26,0.55,0.15,0.11,0.09,0.1
36,0.28,0.56,0.14,0.11,0.09,0.1
37,0.29,0.57,0.15,0.1,0.09,0.09
38,0.27,0.58,0.13,0.12,0.08,0.09
39,0.23,0.57,0.14,0.11,0.08,0.1
40,0.28,0.56,0.14,0.12,0.08,0.1
41,0.24,0.56,0.13,0.12,0.09,0.1
42,0.27,0.56,0.13,0.12,0.1,0.09
43,0.24,0.53,0.15,0.13,0.1,0.09
44,0.3,0.52,0.14,0.13,0.1,0.11
45,0.33,0.52,0.15,0.13,0.1,0.1
46,0.29,0.52,0.14,0.14,0.09,0.11
47,0.29,0.52,0.14,0.15,0.1,0.09
48,0.26,0.5,0.14,0.16,0.11,0.09
49,0.32,0.48,0.15,0.17,0.11,0.09
50,0.36,0.5,0.16,0.15,0.1,0.09
51,0.29,0.47,0.17,0.16,0.11,0.09
52,0.32,0.47,0.17,0.16,0.11,0.09
53,0.31,0.49,0.17,0.15,0.12,0.07
54,0.32,0.52,0.16,0.14,0.11,0.07
55,0.28,0.51,0.16,0.15,0.11,0.07
56,0.29,0.51,0.15,0.16,0.11,0.07
57,0.32,0.52,0.14,0.16,0.11,0.07
58,0.31,0.51,0.14,0.16,0.12,0.07
59,0.32,0.51,0.14,0.16,0.12,0.07
60,0.28,0.53,0.12,0.16,0.13,0.06
61,0.31,0.52,0.12,0.16,0.14,0.06
62,0.31,0.51,0.11,0.16,0.14,0.08
63,0.34,0.52,0.11,0.15,0.14,0.08
64,0.33,0.48,0.12,0.18,0.14,0.08
65,0.36,0.49,0.14,0.16,0.14,0.07
66,0.33,0.51,0.15,0.16,0.11,0.07
67,0.3,0.51,0.14,0.16,0.12,0.07
68,0.31,0.52,0.13,0.16,0.12,0.07
69,0.32,0.5,0.13,0.18,0.12,0.07
70,0.32,0.48,0.14,0.19,0.12,0.07
71,0.34,0.49,0.14,0.18,0.12,0.07
72,0.36,0.5,0.13,0.19,0.12,0.06
73,0.35,0.5,0.11,0.2,0.13,0.06
74,0.37,0.52,0.09,0.2,0.13,0.06
75,0.35,0.52,0.09,0.21,0.13,0.05
76,0.36,0.54,0.09,0.21,0.13,0.03
77,0.35,0.55,0.09,0.21,0.13,0.02
78,0.34,0.55,0.09,0.21,0.13,0.02
79,0.36,0.53,0.09,0.22,0.14,0.02
80,0.36,0.51,0.08,0.23,0.16,0.02
81,0.39,0.5,0.08,0.23,0.16,0.03
82,0.4,0.5,0.08,0.23,0.16,0.03
83,0.41,0.52,0.08,0.22,0.15,0.03
84,0.39,0.51,0.07,0.24,0.15,0.03
85,0.41,0.52,0.06,0.24,0.16,0.02
86,0.41,0.53,0.06,0.23,0.16,0.02
87,0.4,0.51,0.07,0.23,0.17,0.02
88,0.41,0.5,0.08,0.23,0.17,0.02
89,0.41,0.5,0.08,0.23,0.17,0.02
90,0.41,0.51,0.08,0.23,0.16,0.02
91,0.4,0.51,0.08,0.24,0.16,0.01
92,0.41,0.52,0.08,0.24,0.15,0.01
93,0.39,0.51,0.09,0.25,0.15,0.0
94,0.4,0.51,0.09,0.25,0.15,0.0
95,0.4,0.52,0.09,0.25,0.14,0.0
96,0.39,0.5,0.1,0.27,0.13,0.0
97,0.4,0.47,0.11,0.28,0.14,0.0
98,0.42,0.45,0.11,0.29,0.15,0.0
99,0.44,0.44,0.12,0.29,0.15,0.0
