paso,cooperacion_global,E,P,O,A,R
0,0.43,0.2,0.17,0.28,0.16,0.19
1,0.42,0.2,0.17,0.28,0.16,0.19
2,0.43,0.2,0.17,0.28,0.16,0.19
3,0.41,0.21,0.17,0.26,0.17,0.19
4,0.43,0.24,0.18,0.24,0.15,0.19
5,0.42,0.26,0.2,0.23,0.11,0.2
6,0.43,0.28,0.21,0.21,0.09,0.21
7,0.36,0.27,0.24,0.21,0.08,0.2
8,0.4,0.26,0.24,0.24,0.07,0.19
9,0.43,0.27,0.26,0.22,0.07,0.18
10,0.43,0.28,0.26,0.2,0.09,0.17
11,0.45,0.29,0.25,0.2,0.09,0.17
12,0.45,0.29,0.26,0.19,0.1,0.16
13,0.45,0.3,0.25,0.19,0.1,0.16
14,0.41,0.28,0.24,0.2,0.11,0.17
15,0.43,0.26,0.25,0.2,0.11,0.18
16,0.42,0.26,0.25,0.19,0.09,0.21
17,0.45,0.25,0.24,0.19,0.12,0.2
18,0.46,0.27,0.25,0.17,0.11,0.2
19,0.49,0.29,0.24,0.18,0.1,0.19
20,0.42,0.3,0.24,0.16,0.1,0.2
21,0.45,0.3,0.24,0.17,0.09,0.2
22,0.43,0.29,0.23,0.16,0.1,0.22
23,0.42,0.31,0.23,0.15,0.1,0.21
24,0.46,0.32,0.24,0.14,0.1,0.2
25,0.43,0.33,0.22,0.14,0.12,0.19
26,0.44,0.34,0.23,0.14,0.12,0.17
27,0.45,0.3,0.23,0.14,0.13,0.2
28,0.45,0.29,0.23,0.12,0.14,0.22
29,0.48,0.29,0.22,0.12,0.14,0.23
30,0.45,0.31,0.21,0.12,0.14,0.22
31,0.45,0.31,0.19,0.13,0.15,0.22
32,0.46,0.31,0.19,0.15,0.14,0.21
33,0.45,0.28,0.19,0.16,0.13,0.24
34,0.43,0.25,0.17,0.19,0.14,0.25
35,0.45,0.29,0.16,0.17,0.13,0.25
36,0.36,0.25,0.16,0.19,0.13,0.27
37,0.43,0.26,0.14,0.18,0.14,0.28
38,0.41,0.31,0.13,0.17,0.15,0.24
39,0.42,0.31,0.12,0.16,0.15,0.26
40,0.44,0.3,0.14,0.15,0.16,0.25
41,0.43,0.3,0.13,0.15,0.17,0.25
42,0.45,0.25,0.15,0.15,0.19,0.26
43,0.45,0.26,0.15,0.16,0.19,0.24
44,0.45,0.25,0.16,0.16,0.21,0.22
45,0.49,0.27,0.15,0.17,0.21,0.2
46,0.45,0.28,0.14,0.19,0.19,0.2
47,0.46,0.29,0.15,0.17,0.2,0.19
48,0.42,0.3,0.12,0.19,0.19,0.2
49,0.42,0.31,0.12,0.18,0.21,0.18
50,0.47,0.33,0.11,0.19,0.2,0.17
51,0.43,0.31,0.12,0.21,0.19,0.17
52,0.5,0.35,0.09,0.21,0.18,0.17
53,0.46,0.35,0.08,0.2,0.2,0.17
54,0.46,0.35,0.06,0.2,0.21,0.18
55,0.47,0.35,0.05,0.21,0.22,0.17
56,0.52,0.33,0.05,0.2,0.23,0.19
57,0.51,0.35,0.05,0.2,0.21,0.19
58,0.52,0.33,0.06,0.2,0.22,0.19
59,0.49,0.34,0.06,0.16,0.25,0.19
60,0.49,0.36,0.05,0.14,0.27,0.18
61,0.49,0.34,0.06,0.14,0.27,0.19
62,0.53,0.34,0.05,0.14,0.27,0.2
63,0.52,0.34,0.05,0.14,0.28,0.19
64,0.52,0.35,0.05,0.13,0.27,0.2
65,0.5,0.33,0.05,0.15,0.27,0.2
66,0.52,0.32,0.07,0.15,0.26,0.2
67,0.5,0.32,0.07,0.15,0.27,0.19
68,0.54,0.31,0.06,0.17,0.31,0.15
69,0.55,0.32,0.06,0.19,0.29,0.14
70,0.58,0.32,0.07,0.16,0.31,0.14
71,0.53,0.3,0.08,0.16,0.31,0.15
72,0.53,0.3,0.08,0.14,0.34,0.14
73,0.57,0.28,0.08,0.14,0.35,0.15
74,0.6,0.28,0.09,0.13,0.35,0.15
75,0.54,0.28,0.07,0.12,0.39,0.14
76,0.56,0.28,0.06,0.13,0.39,0.14
77,0.54,0.25,0.1,0.11,0.39,0.15
78,0.6,0.26,0.09,0.11,0.39,0.15
79,0.59,0.24,0.12,0.1,0.39,0.15
80,0.54,0.22,0.12,0.11,0.41,0.14
81,0.6,0.24,0.1,0.11,0.4,0.15
82,0.59,0.26,0.1,0.1,0.38,0.16
83,0.56,0.26,0.09,0.1,0.4,0.15
84,0.56,0.27,0.09,0.09,0.4,0.15
85,0.56,0.29,0.08,0.09,0.41,0.13
86,0.58,0.28,0.08,0.09,0.42,0.13
87,0.56,0.27,0.07,0.1,0.42,0.14
88,0.55,0.26,0.06,0.11,0.43,0.14
89,0.61,0.26,0.07,0.1,0.44,0.13
90,0.59,0.26,0.07,0.09,0.44,0.14
91,0.58,0.23,0.09,0.09,0.45,0.14
92,0.65,0.25,0.09,0.07,0.46,0.13
93,0.59,0.21,0.09,0.06,0.52,0.12
94,0.64,0.21,0.08,0.06,0.53,0.12
95,0.65,0.21,0.09,0.06,0.53,0.11
96,0.64,0.22,0.08,0.06,0.53,0.11
97,0.6,0.21,0.09,0.04,0.56,0.1
98,0.64,0.23,0.09,0.04,0.56,0.08
99,0.64,0.23,0.08,0.04,0.56,0.09
