paso,cooperacion_global,E,P,O,A,R
0,0.52,0.12,0.08,0.09,0.11,0.6
1,0.41,0.12,0.08,0.09,0.11,0.6
2,0.51,0.12,0.08,0.09,0.11,0.6
3,0.5,0.12,0.1,0.07,0.1,0.61
4,0.48,0.13,0.1,0.07,0.09,0.61
5,0.5,0.14,0.1,0.08,0.08,0.6
6,0.5,0.14,0.09,0.07,0.08,0.62
7,0.42,0.13,0.08,0.08,0.08,0.63
8,0.43,0.13,0.09,0.07,0.08,0.63
9,0.46,0.12,0.11,0.07,0.08,0.62
10,0.48,0.12,0.14,0.06,0.08,0.6
11,0.5,0.13,0.15,0.05,0.08,0.59
12,0.52,0.14,0.15,0.04,0.08,0.59
13,0.55,0.14,0.15,0.05,0.08,0.58
14,0.45,0.14,0.15,0.06,0.08,0.57
15,0.47,0.17,0.15,0.06,0.07,0.55
16,0.59,0.19,0.12,0.07,0.06,0.56
17,0.49,0.18,0.11,0.07,0.06,0.58
18,0.48,0.15,0.11,0.07,0.06,0.61
19,0.51,0.16,0.09,0.06,0.07,0.62
20,0.46,0.17,0.08,0.05,0.07,0.63
21,0.42,0.18,0.07,0.05,0.06,0.64
22,0.43,0.19,0.07,0.05,0.06,0.63
23,0.44,0.19,0.05,0.04,0.06,0.66
24,0.45,0.2,0.05,0.02,0.07,0.66
25,0.45,0.15,0.05,0.02,0.07,0.71
26,0.47,0.16,0.05,0.02,0.06,0.71
27,0.46,0.16,0.05,0.02,0.06,0.71
28,0.5,0.13,0.03,0.04,0.06,0.74
29,0.53,0.13,0.02,0.04,0.06,0.75
30,0.42,0.1,0.02,0.04,0.06,0.78
31,0.43,0.1,0.02,0.04,0.05,0.79
32,0.42,0.08,0.02,0.05,0.05,0.8
33,0.47,0.08,0.02,0.06,0.05,0.79
34,0.49,0.08,0.02,0.06,0.05,0.79
35,0.4,0.06,0.02,0.06,0.05,0.81
36,0.53,0.06,0.01,0.07,0.05,0.81
37,0.49,0.03,0.01,0.07,0.05,0.84
38,0.49,0.03,0.0,0.06,0.05,0.86
39,0.4,0.01,0.0,0.06,0.05,0.88
40,0.51,0.02,0.0,0.06,0.04,0.88
41,0.4,0.02,0.0,0.05,0.04,0.89
42,0.49,0.02,0.0,0.06,0.05,0.87
43,0.43,0.02,0.0,0.07,0.05,0.86
44,0.52,0.02,0.0,0.08,0.05,0.85
45,0.48,0.01,0.0,0.08,0.05,0.86
46,0.37,0.01,0.0,0.08,0.05,0.86
47,0.46,0.01,0.0,0.07,0.06,0.86
48,0.5,0.01,0.0,0.07,0.06,0.86
49,0.54,0.01,0.0,0.06,0.07,0.86
50,0.54,0.01,0.0,0.07,0.07,0.85
51,0.62,0.0,0.0,0.07,0.06,0.87
52,0.53,0.0,0.0,0.07,0.06,0.87
53,0.58,0.0,0.0,0.07,0.07,0.86
54,0.6,0.0,0.0,0.06,0.07,0.87
55,0.56,0.0,0.0,0.05,0.06,0.89
56,0.52,0.0,0.0,0.05,0.06,0.89
57,0.51,0.0,0.0,0.05,0.05,0.9
58,0.62,0.0,0.0,0.06,0.05,0.89
59,0.54,0.0,0.0,0.06,0.05,0.89
60,0.58,0.0,0.0,0.06,0.04,0.9
61,0.58,0.0,0.0,0.06,0.04,0.9
62,0.59,0.0,0.0,0.07,0.04,0.89
63,0.61,0.0,0.0,0.06,0.03,0.91
64,0.55,0.0,0.0,0.06,0.03,0.91
65,0.59,0.0,0.0,0.06,0.03,0.91
66,0.58,0.0,0.0,0.06,0.03,0.91
67,0.57,0.0,0.0,0.07,0.03,0.9
68,0.49,0.0,0.0,0.06,0.03,0.91
69,0.58,0.0,0.0,0.05,0.03,0.92
70,0.51,0.0,0.0,0.05,0.03,0.92
71,0.54,0.0,0.0,0.05,0.03,0.92
72,0.5,0.0,0.0,0.05,0.04,0.91
73,0.55,0.0,0.0,0.06,0.05,0.89
74,0.59,0.0,0.0,0.06,0.05,0.89
75,0.55,0.0,0.0,0.06,0.05,0.89
76,0.56,0.0,0.0,0.05,0.05,0.9
77,0.63,0.0,0.0,0.05,0.05,0.9
78,0.48,0.0,0.0,0.06,0.04,0.9
79,0.47,0.0,0.0,0.06,0.04,0.9
80,0.5,0.0,0.0,0.05,0.04,0.91
81,0.59,0.0,0.0,0.06,0.05,0.89
82,0.49,0.0,0.0,0.06,0.04,0.9
83,0.48,0.0,0.0,0.06,0.05,0.89
84,0.48,0.0,0.0,0.07,0.06,0.87
85,0.55,0.0,0.0,0.09,0.05,0.86
86,0.56,0.0,0.0,0.09,0.06,0.85
87,0.56,0.0,0.0,0.1,0.06,0.84
88,0.45,0.0,0.0,0.1,0.06,0.84
89,0.5,0.0,0.0,0.11,0.07,0.82
90,0.62,0.0,0.0,0.11,0.08,0.81
91,0.62,0.0,0.0,0.11,0.08,0.81
92,0.64,0.0,0.0,0.12,0.08,0.8
93,0.55,0.0,0.0,0.12,0.08,0.8
94,0.65,0.0,0.0,0.12,0.07,0.81
95,0.48,0.0,0.0,0.13,0.08,0.79
96,0.51,0.0,0.0,0.14,0.09,0.77
97,0.63,0.0,0.0,0.14,0.1,0.76
98,0.63,0.0,0.0,0.15,0.1,0.75
99,0.67,0.0,0.0,0.15,0.11,0.74
