paso,cooperacion_global,E,P,O,A,R
0,0.59,0.16,0.12,0.15,0.41,0.16
1,0.57,0.16,0.12,0.15,0.41,0.16
2,0.62,0.16,0.12,0.15,0.41,0.16
3,0.61,0.19,0.11,0.19,0.34,0.17
4,0.54,0.21,0.11,0.2,0.31,0.17
5,0.49,0.21,0.1,0.2,0.32,0.17
6,0.51,0.21,0.1,0.18,0.35,0.16
7,0.55,0.23,0.09,0.17,0.35,0.16
8,0.5,0.24,0.08,0.16,0.37,0.15
9,0.5,0.23,0.07,0.19,0.37,0.14
10,0.52,0.23,0.06,0.18,0.39,0.14
11,0.56,0.22,0.06,0.19,0.39,0.14
12,0.53,0.22,0.07,0.19,0.38,0.14
13,0.51,0.23,0.08,0.19,0.36,0.14
14,0.53,0.23,0.07,0.2,0.36,0.14
15,0.48,0.2,0.07,0.22,0.36,0.15
16,0.52,0.22,0.07,0.23,0.32,0.16
17,0.46,0.25,0.07,0.22,0.31,0.15
18,0.48,0.25,0.08,0.22,0.31,0.14
19,0.46,0.22,0.1,0.22,0.31,0.15
20,0.5,0.22,0.09,0.21,0.32,0.16
21,0.48,0.2,0.09,0.24,0.31,0.16
22,0.5,0.18,0.09,0.24,0.35,0.14
23,0.53,0.2,0.08,0.24,0.35,0.13
24,0.51,0.17,0.08,0.28,0.34,0.13
25,0.48,0.18,0.07,0.29,0.34,0.12
26,0.46,0.18,0.07,0.29,0.34,0.12
27,0.47,0.19,0.05,0.28,0.37,0.11
28,0.46,0.19,0.04,0.28,0.38,0.11
29,0.49,0.2,0.04,0.29,0.37,0.1
30,0.46,0.19,0.06,0.28,0.37,0.1
31,0.5,0.2,0.05,0.29,0.38,0.08
32,0.48,0.19,0.07,0.29,0.36,0.09
33,0.48,0.18,0.07,0.28,0.35,0.12
34,0.48,0.18,0.07,0.3,0.35,0.1
35,0.49,0.18,0.07,0.34,0.31,0.1
36,0.43,0.19,0.07,0.32,0.3,0.12
37,0.42,0.2,0.08,0.33,0.29,0.1
38,0.43,0.23,0.08,0.34,0.26,0.09
39,0.37,0.25,0.08,0.33,0.26,0.08
40,0.39,0.25,0.08,0.32,0.27,0.08
41,0.38,0.23,0.08,0.31,0.29,0.09
42,0.43,0.25,0.07,0.29,0.29,0.1
43,0.42,0.22,0.07,0.31,0.29,0.11
44,0.42,0.22,0.07,0.34,0.27,0.1
45,0.4,0.24,0.06,0.34,0.26,0.1
46,0.38,0.25,0.06,0.36,0.24,0.09
47,0.33,0.25,0.06,0.35,0.23,0.11
48,0.33,0.24,0.06,0.33,0.26,0.11
49,0.37,0.26,0.06,0.32,0.25,0.11
50,0.66,0.27,0.06,0.3,0.25,0.12
51,0.6,0.28,0.06,0.28,0.26,0.12
52,0.62,0.31,0.06,0.28,0.23,0.12
53,0.58,0.31,0.06,0.27,0.24,0.12
54,0.55,0.31,0.06,0.27,0.24,0.12
55,0.57,0.33,0.07,0.26,0.24,0.1
56,0.52,0.33,0.08,0.27,0.23,0.09
57,0.53,0.32,0.08,0.26,0.25,0.09
58,0.52,0.31,0.09,0.26,0.24,0.1
59,0.56,0.33,0.08,0.26,0.24,0.09
60,0.55,0.32,0.08,0.25,0.25,0.1
61,0.55,0.34,0.08,0.24,0.25,0.09
62,0.54,0.33,0.08,0.24,0.26,0.09
63,0.53,0.32,0.07,0.25,0.27,0.09
64,0.56,0.34,0.06,0.26,0.26,0.08
65,0.55,0.33,0.06,0.27,0.26,0.08
66,0.59,0.35,0.07,0.26,0.24,0.08
67,0.54,0.34,0.06,0.27,0.25,0.08
68,0.56,0.33,0.06,0.26,0.28,0.07
69,0.57,0.32,0.05,0.25,0.3,0.08
70,0.59,0.3,0.05,0.26,0.31,0.08
71,0.64,0.28,0.07,0.25,0.3,0.1
72,0.61,0.25,0.07,0.28,0.31,0.09
73,0.64,0.26,0.09,0.29,0.29,0.07
74,0.62,0.26,0.07,0.29,0.31,0.07
75,0.63,0.25,0.08,0.29,0.31,0.07
76,0.64,0.26,0.08,0.29,0.3,0.07
77,0.6,0.27,0.08,0.3,0.29,0.06
78,0.61,0.25,0.09,0.32,0.28,0.06
79,0.62,0.25,0.09,0.32,0.28,0.06
80,0.64,0.25,0.09,0.33,0.29,0.04
81,0.63,0.24,0.07,0.33,0.31,0.05
82,0.65,0.26,0.06,0.33,0.3,0.05
83,0.64,0.25,0.06,0.33,0.31,0.05
84,0.66,0.25,0.05,0.35,0.3,0.05
85,0.67,0.25,0.05,0.34,0.3,0.06
86,0.67,0.24,0.08,0.34,0.28,0.06
87,0.67,0.24,0.09,0.37,0.25,0.05
88,0.63,0.24,0.1,0.38,0.24,0.04
89,0.63,0.27,0.1,0.38,0.23,0.02
90,0.63,0.27,0.06,0.41,0.24,0.02
91,0.66,0.26,0.06,0.44,0.22,0.02
92,0.66,0.24,0.06,0.44,0.24,0.02
93,0.69,0.25,0.06,0.44,0.24,0.01
94,0.68,0.23,0.05,0.47,0.24,0.01
95,0.71,0.22,0.05,0.47,0.25,0.01
96,0.73,0.23,0.05,0.45,0.26,0.01
97,0.71,0.21,0.05,0.47,0.25,0.02
98,0.73,0.21,0.05,0.47,0.25,0.02
99,0.73,0.2,0.03,0.49,0.26,0.02
