paso,id,fenotipo,cambio_fenotipo,estrategia,pago,tau,theta
0,0-0,E,0,D,2.109,9,1
0,0-1,O,0,C,-1.92,8,1
0,0-2,E,0,D,0.703,9,1
0,0-3,P,0,D,0.703,7,1
0,0-4,E,0,D,0.703,8,1
0,0-5,E,0,D,0.703,4,1
0,0-6,R,0,C,-0.44,4,1
0,0-7,E,0,D,0.703,9,1
0,0-8,E,0,D,1.406,8,1
0,0-9,O,0,C,-1.92,3,1
0,1-0,O,0,C,-0.44,8,1
0,1-1,E,0,D,1.406,7,1
0,1-2,E,0,D,1.406,8,1
0,1-3,A,0,C,-0.44,6,1
0,1-4,O,0,C,1.04,6,1
0,1-5,R,0,D,1.406,8,1
0,1-6,E,0,D,1.406,10,1
0,1-7,E,0,D,1.406,4,1
0,1-8,O,0,C,-0.44,4,1
0,1-9,E,0,D,2.109,4,1
0,2-0,O,0,C,1.04,10,1
0,2-1,E,0,D,1.406,7,1
0,2-2,O,0,C,-1.92,5,1
0,2-3,E,0,D,2.109,7,1
0,2-4,R,0,C,1.04,10,1
0,2-5,A,0,C,2.52,4,1
0,2-6,A,0,C,1.04,7,1
0,2-7,R,0,C,2.52,4,1
0,2-8,O,0,C,1.04,8,1
0,2-9,E,0,D,1.406,10,1
0,3-0,A,0,C,-0.44,3,1
0,3-1,E,0,D,0.703,8,1
0,3-2,P,0,D,0.703,6,1
0,3-3,E,0,D,0.0,3,1
0,3-4,E,0,D,1.406,3,1
0,3-5,O,0,C,1.04,9,1
0,3-6,E,0,D,2.812,10,1
0,3-7,R,0,C,1.04,9,1
0,3-8,E,0,D,2.109,4,1
0,3-9,E,0,D,1.406,10,1
0,4-0,E,0,D,1.406,4,1
0,4-1,E,0,D,0.703,6,1
0,4-2,E,0,D,0.0,6,1
0,4-3,E,0,D,0.0,3,1
0,4-4,P,0,D,1.406,8,1
0,4-5,A,0,C,2.52,7,1
0,4-6,A,0,C,1.04,8,1
0,4-7,R,0,C,2.52,9,1
0,4-8,O,0,C,1.04,8,1
0,4-9,O,0,C,-0.44,7,1
0,5-0,E,0,D,1.406,8,1
0,5-1,A,0,C,-1.92,6,1
0,5-2,E,0,D,1.406,8,1
0,5-3,E,0,D,1.406,6,1
0,5-4,A,0,C,-0.44,9,1
0,5-5,A,0,C,1.04,4,1
0,5-6,P,0,D,1.406,10,1
0,5-7,P,0,D,1.406,10,1
0,5-8,P,0,D,1.406,9,1
