paso,cooperacion_global,E,P,O,A,R
0,0.42,0.36,0.18,0.21,0.16,0.09
1,0.37,0.36,0.18,0.21,0.16,0.09
2,0.23,0.36,0.18,0.21,0.16,0.09
3,0.95,0.33,0.18,0.24,0.15,0.1
4,0.19,0.35,0.15,0.25,0.13,0.12
5,0.17,0.37,0.16,0.28,0.08,0.11
6,0.57,0.36,0.14,0.33,0.07,0.1
7,0.25,0.33,0.12,0.38,0.07,0.1
8,0.22,0.34,0.13,0.37,0.07,0.09
9,0.49,0.34,0.14,0.36,0.05,0.11
10,0.12,0.36,0.15,0.37,0.03,0.09
11,0.07,0.36,0.17,0.36,0.02,0.09
12,0.24,0.31,0.18,0.37,0.02,0.12
13,0.91,0.33,0.17,0.37,0.02,0.11
14,0.08,0.32,0.17,0.39,0.02,0.1
15,0.47,0.33,0.17,0.37,0.02,0.11
16,0.09,0.31,0.19,0.41,0.02,0.07
17,0.49,0.28,0.2,0.41,0.03,0.08
18,0.26,0.29,0.2,0.39,0.03,0.09
19,0.66,0.29,0.22,0.38,0.03,0.08
20,0.67,0.26,0.22,0.4,0.03,0.09
21,0.08,0.23,0.25,0.38,0.03,0.11
22,0.09,0.19,0.27,0.41,0.03,0.1
23,0.48,0.19,0.28,0.41,0.03,0.09
24,0.08,0.2,0.27,0.42,0.03,0.08
25,0.46,0.2,0.25,0.42,0.04,0.09
26,0.77,0.2,0.23,0.41,0.04,0.12
27,0.32,0.21,0.24,0.38,0.04,0.13
28,0.33,0.2,0.26,0.38,0.04,0.12
29,0.93,0.17,0.27,0.4,0.05,0.11
30,0.39,0.16,0.29,0.4,0.05,0.1
31,0.41,0.17,0.28,0.4,0.05,0.1
32,0.95,0.17,0.3,0.39,0.05,0.09
33,0.38,0.17,0.3,0.39,0.05,0.09
34,0.49,0.19,0.31,0.36,0.06,0.08
35,0.11,0.19,0.28,0.38,0.07,0.08
36,0.12,0.19,0.29,0.38,0.06,0.08
37,0.1,0.2,0.27,0.37,0.06,0.1
38,0.1,0.21,0.26,0.37,0.06,0.1
39,0.38,0.19,0.25,0.37,0.08,0.11
40,0.93,0.17,0.23,0.4,0.08,0.12
41,0.36,0.17,0.24,0.4,0.08,0.11
42,0.38,0.18,0.24,0.38,0.08,0.12
43,0.55,0.17,0.22,0.39,0.1,0.12
44,0.16,0.16,0.2,0.41,0.1,0.13
45,0.57,0.15,0.2,0.4,0.11,0.14
46,0.89,0.15,0.2,0.43,0.11,0.11
47,0.56,0.15,0.19,0.43,0.11,0.12
48,0.34,0.15,0.2,0.42,0.12,0.11
49,0.37,0.15,0.2,0.43,0.11,0.11
