paso,cooperacion_global,E,P,O,A,R
0,0.19,0.1,0.06,0.63,0.08,0.13
1,0.21,0.1,0.06,0.63,0.08,0.13
2,0.2,0.1,0.06,0.63,0.08,0.13
3,0.18,0.09,0.07,0.62,0.08,0.14
4,0.22,0.08,0.07,0.62,0.08,0.15
5,0.22,0.08,0.07,0.6,0.08,0.17
6,0.21,0.09,0.07,0.59,0.08,0.17
7,0.19,0.09,0.08,0.6,0.08,0.15
8,0.27,0.1,0.09,0.58,0.08,0.15
9,0.26,0.1,0.1,0.56,0.09,0.15
10,0.25,0.1,0.1,0.52,0.07,0.21
11,0.23,0.11,0.1,0.5,0.07,0.22
12,0.26,0.11,0.12,0.46,0.07,0.24
13,0.33,0.12,0.12,0.44,0.06,0.26
14,0.33,0.11,0.13,0.43,0.06,0.27
15,0.34,0.09,0.12,0.47,0.06,0.26
16,0.31,0.09,0.1,0.5,0.05,0.26
17,0.26,0.08,0.12,0.49,0.06,0.25
18,0.31,0.07,0.13,0.49,0.06,0.25
19,0.35,0.08,0.15,0.49,0.05,0.23
20,0.3,0.08,0.15,0.5,0.04,0.23
21,0.32,0.08,0.16,0.5,0.03,0.23
22,0.28,0.09,0.16,0.5,0.03,0.22
23,0.29,0.08,0.16,0.52,0.03,0.21
24,0.33,0.08,0.16,0.52,0.03,0.21
25,0.28,0.08,0.15,0.53,0.03,0.21
26,0.3,0.06,0.15,0.56,0.02,0.21
27,0.25,0.06,0.15,0.54,0.02,0.23
28,0.34,0.07,0.14,0.54,0.01,0.24
29,0.29,0.06,0.19,0.5,0.01,0.24
30,0.32,0.07,0.19,0.48,0.01,0.25
31,0.31,0.07,0.2,0.49,0.01,0.23
32,0.37,0.06,0.19,0.51,0.01,0.23
33,0.34,0.06,0.21,0.5,0.01,0.22
34,0.37,0.05,0.21,0.51,0.0,0.23
35,0.31,0.06,0.23,0.49,0.0,0.22
36,0.36,0.06,0.24,0.48,0.0,0.22
37,0.33,0.06,0.25,0.46,0.0,0.23
38,0.4,0.06,0.25,0.45,0.0,0.24
39,0.35,0.05,0.27,0.43,0.0,0.25
40,0.38,0.07,0.24,0.42,0.0,0.27
41,0.35,0.07,0.25,0.42,0.0,0.26
42,0.43,0.07,0.27,0.4,0.0,0.26
43,0.39,0.07,0.26,0.43,0.0,0.24
44,0.4,0.08,0.27,0.4,0.0,0.25
45,0.38,0.07,0.27,0.36,0.0,0.3
46,0.44,0.09,0.25,0.39,0.0,0.27
47,0.36,0.09,0.25,0.4,0.0,0.26
48,0.37,0.11,0.26,0.4,0.0,0.23
49,0.39,0.09,0.3,0.4,0.0,0.21
50,0.5,0.07,0.31,0.41,0.0,0.21
51,0.5,0.07,0.28,0.45,0.0,0.2
52,0.57,0.07,0.28,0.45,0.0,0.2
53,0.49,0.07,0.27,0.44,0.0,0.22
54,0.55,0.06,0.28,0.44,0.0,0.22
55,0.51,0.06,0.28,0.43,0.0,0.23
56,0.57,0.08,0.29,0.38,0.0,0.25
57,0.56,0.08,0.29,0.38,0.0,0.25
58,0.54,0.09,0.27,0.39,0.0,0.25
59,0.51,0.1,0.3,0.35,0.0,0.25
60,0.48,0.08,0.3,0.37,0.0,0.25
61,0.48,0.05,0.32,0.37,0.0,0.26
62,0.53,0.05,0.32,0.37,0.0,0.26
63,0.51,0.05,0.32,0.37,0.0,0.26
64,0.5,0.06,0.3,0.38,0.0,0.26
65,0.51,0.08,0.29,0.37,0.0,0.26
66,0.5,0.08,0.29,0.38,0.0,0.25
67,0.52,0.06,0.3,0.39,0.0,0.25
68,0.52,0.06,0.28,0.41,0.0,0.25
69,0.57,0.07,0.28,0.4,0.0,0.25
70,0.55,0.05,0.31,0.38,0.0,0.26
71,0.51,0.07,0.31,0.37,0.0,0.25
72,0.47,0.07,0.34,0.37,0.0,0.22
73,0.48,0.06,0.36,0.35,0.0,0.23
74,0.46,0.06,0.32,0.38,0.0,0.24
75,0.48,0.05,0.31,0.4,0.0,0.24
76,0.47,0.06,0.31,0.39,0.0,0.24
77,0.46,0.06,0.31,0.39,0.0,0.24
78,0.51,0.07,0.31,0.39,0.0,0.23
79,0.52,0.08,0.31,0.41,0.0,0.2
80,0.51,0.07,0.31,0.43,0.0,0.19
81,0.51,0.08,0.31,0.45,0.0,0.16
82,0.52,0.07,0.3,0.47,0.0,0.16
83,0.58,0.07,0.29,0.48,0.0,0.16
84,0.57,0.07,0.29,0.48,0.0,0.16
85,0.54,0.05,0.28,0.5,0.0,0.17
86,0.62,0.04,0.28,0.51,0.0,0.17
87,0.63,0.05,0.3,0.5,0.0,0.15
88,0.59,0.04,0.31,0.51,0.0,0.14
89,0.59,0.04,0.31,0.51,0.0,0.14
90,0.59,0.04,0.33,0.48,0.0,0.15
91,0.56,0.04,0.32,0.5,0.0,0.14
92,0.59,0.05,0.32,0.48,0.0,0.15
93,0.56,0.05,0.29,0.49,0.0,0.17
94,0.56,0.05,0.28,0.52,0.0,0.15
95,0.59,0.06,0.29,0.5,0.0,0.15
96,0.58,0.06,0.28,0.52,0.0,0.14
97,0.6,0.06,0.26,0.55,0.0,0.13
98,0.62,0.07,0.26,0.54,0.0,0.13
99,0.63,0.08,0.26,0.55,0.0,0.11
