paso,cooperacion_global,E,P,O,A,R
0,0.55,0.18,0.26,0.21,0.19,0.16
1,0.53,0.18,0.26,0.21,0.19,0.16
2,0.52,0.18,0.26,0.21,0.19,0.16
3,0.5,0.24,0.21,0.23,0.17,0.15
4,0.47,0.25,0.2,0.23,0.15,0.17
5,0.45,0.24,0.21,0.24,0.14,0.17
6,0.46,0.24,0.21,0.25,0.14,0.16
7,0.4,0.26,0.2,0.23,0.12,0.19
8,0.42,0.32,0.18,0.2,0.11,0.19
9,0.35,0.28,0.2,0.2,0.11,0.21
10,0.42,0.28,0.16,0.19,0.14,0.23
11,0.35,0.29,0.17,0.15,0.15,0.24
12,0.41,0.26,0.17,0.17,0.17,0.23
13,0.44,0.25,0.17,0.17,0.18,0.23
14,0.46,0.27,0.17,0.2,0.17,0.19
15,0.44,0.28,0.17,0.22,0.17,0.16
16,0.41,0.29,0.16,0.23,0.16,0.16
17,0.42,0.3,0.16,0.24,0.17,0.13
18,0.4,0.29,0.17,0.21,0.17,0.16
19,0.39,0.33,0.16,0.17,0.18,0.16
20,0.41,0.31,0.15,0.17,0.21,0.16
21,0.43,0.3,0.15,0.16,0.22,0.17
22,0.44,0.29,0.16,0.16,0.22,0.17
23,0.51,0.3,0.17,0.16,0.21,0.16
24,0.48,0.31,0.16,0.16,0.22,0.15
25,0.48,0.3,0.17,0.16,0.22,0.15
26,0.46,0.3,0.16,0.18,0.22,0.14
27,0.45,0.33,0.15,0.13,0.24,0.15
28,0.45,0.35,0.15,0.12,0.25,0.13
29,0.5,0.32,0.14,0.13,0.27,0.14
30,0.45,0.35,0.13,0.12,0.26,0.14
31,0.43,0.3,0.15,0.13,0.26,0.16
32,0.5,0.31,0.13,0.13,0.28,0.15
33,0.43,0.3,0.13,0.13,0.3,0.14
34,0.49,0.29,0.12,0.15,0.3,0.14
35,0.49,0.28,0.12,0.15,0.31,0.14
36,0.5,0.27,0.12,0.18,0.29,0.14
37,0.5,0.26,0.12,0.18,0.3,0.14
38,0.51,0.24,0.12,0.19,0.31,0.14
39,0.53,0.27,0.11,0.2,0.3,0.12
40,0.45,0.25,0.11,0.21,0.32,0.11
41,0.46,0.25,0.11,0.22,0.32,0.1
42,0.48,0.27,0.11,0.2,0.31,0.11
43,0.49,0.25,0.12,0.2,0.3,0.13
44,0.48,0.29,0.11,0.15,0.3,0.15
45,0.5,0.29,0.11,0.14,0.31,0.15
46,0.5,0.3,0.11,0.14,0.31,0.14
47,0.5,0.31,0.1,0.15,0.31,0.13
48,0.47,0.3,0.1,0.17,0.3,0.13
49,0.46,0.31,0.09,0.17,0.31,0.12
50,0.55,0.3,0.08,0.18,0.32,0.12
51,0.55,0.29,0.08,0.19,0.33,0.11
52,0.59,0.26,0.08,0.19,0.34,0.13
53,0.6,0.26,0.09,0.2,0.36,0.09
54,0.61,0.23,0.07,0.22,0.38,0.1
55,0.67,0.25,0.07,0.23,0.37,0.08
56,0.64,0.25,0.06,0.24,0.37,0.08
57,0.68,0.27,0.06,0.24,0.35,0.08
58,0.62,0.27,0.06,0.24,0.35,0.08
59,0.62,0.26,0.07,0.24,0.35,0.08
60,0.61,0.29,0.06,0.22,0.34,0.09
61,0.59,0.28,0.09,0.22,0.33,0.08
62,0.6,0.3,0.09,0.2,0.33,0.08
63,0.58,0.27,0.1,0.2,0.33,0.1
64,0.54,0.28,0.1,0.19,0.34,0.09
65,0.56,0.29,0.1,0.17,0.35,0.09
66,0.56,0.28,0.1,0.19,0.35,0.08
67,0.56,0.26,0.11,0.2,0.37,0.06
68,0.6,0.26,0.11,0.2,0.39,0.04
69,0.61,0.23,0.11,0.21,0.41,0.04
70,0.64,0.21,0.11,0.23,0.41,0.04
71,0.66,0.21,0.11,0.23,0.4,0.05
72,0.65,0.21,0.1,0.25,0.39,0.05
73,0.67,0.2,0.11,0.24,0.4,0.05
74,0.67,0.21,0.09,0.27,0.4,0.03
75,0.68,0.2,0.09,0.28,0.4,0.03
76,0.7,0.21,0.09,0.28,0.4,0.02
77,0.7,0.2,0.08,0.28,0.42,0.02
78,0.71,0.2,0.09,0.29,0.41,0.01
79,0.71,0.19,0.09,0.29,0.42,0.01
80,0.71,0.17,0.1,0.31,0.41,0.01
81,0.72,0.15,0.12,0.32,0.41,0.0
82,0.73,0.12,0.11,0.33,0.44,0.0
83,0.77,0.12,0.11,0.33,0.44,0.0
84,0.77,0.11,0.11,0.36,0.42,0.0
85,0.78,0.11,0.09,0.38,0.42,0.0
86,0.8,0.11,0.07,0.41,0.41,0.0
87,0.82,0.11,0.07,0.41,0.41,0.0
88,0.82,0.12,0.06,0.4,0.42,0.0
89,0.82,0.1,0.06,0.42,0.42,0.0
90,0.84,0.1,0.05,0.4,0.45,0.0
91,0.85,0.09,0.04,0.41,0.46,0.0
92,0.87,0.11,0.04,0.38,0.47,0.0
93,0.85,0.12,0.04,0.36,0.48,0.0
94,0.84,0.12,0.05,0.36,0.47,0.0
95,0.83,0.1,0.05,0.38,0.47,0.0
96,0.85,0.09,0.05,0.37,0.49,0.0
97,0.86,0.07,0.05,0.4,0.48,0.0
98,0.88,0.07,0.05,0.4,0.48,0.0
99,0.88,0.07,0.05,0.41,0.47,0.0
