paso,cooperacion_global,E,P,O,A,R
0,0.49,0.29,0.23,0.17,0.18,0.13
1,0.49,0.29,0.23,0.17,0.18,0.13
2,0.48,0.29,0.23,0.17,0.18,0.13
3,0.47,0.31,0.21,0.22,0.17,0.09
4,0.44,0.32,0.21,0.26,0.14,0.07
5,0.38,0.33,0.19,0.27,0.13,0.08
6,0.34,0.34,0.19,0.26,0.13,0.08
7,0.38,0.32,0.2,0.26,0.12,0.1
8,0.36,0.35,0.17,0.27,0.11,0.1
9,0.31,0.36,0.18,0.26,0.11,0.09
10,0.34,0.38,0.17,0.26,0.1,0.09
11,0.34,0.37,0.17,0.26,0.11,0.09
12,0.33,0.33,0.17,0.28,0.13,0.09
13,0.34,0.29,0.18,0.31,0.13,0.09
14,0.35,0.28,0.19,0.3,0.14,0.09
15,0.39,0.28,0.19,0.32,0.13,0.08
16,0.34,0.32,0.18,0.3,0.12,0.08
17,0.35,0.31,0.19,0.29,0.11,0.1
18,0.35,0.29,0.21,0.3,0.11,0.09
19,0.38,0.28,0.22,0.31,0.11,0.08
20,0.38,0.26,0.24,0.33,0.09,0.08
21,0.37,0.29,0.2,0.34,0.09,0.08
22,0.32,0.28,0.2,0.34,0.1,0.08
23,0.36,0.28,0.2,0.34,0.1,0.08
24,0.35,0.29,0.2,0.33,0.1,0.08
25,0.36,0.29,0.2,0.33,0.1,0.08
26,0.33,0.29,0.21,0.33,0.1,0.07
27,0.35,0.28,0.24,0.34,0.08,0.06
28,0.34,0.32,0.24,0.29,0.09,0.06
29,0.35,0.34,0.23,0.28,0.08,0.07
30,0.35,0.36,0.21,0.28,0.08,0.07
31,0.33,0.36,0.2,0.29,0.08,0.07
32,0.3,0.31,0.21,0.32,0.09,0.07
33,0.34,0.31,0.21,0.35,0.07,0.06
34,0.31,0.34,0.19,0.34,0.07,0.06
35,0.3,0.36,0.18,0.33,0.07,0.06
36,0.29,0.39,0.18,0.3,0.06,0.07
37,0.27,0.4,0.17,0.3,0.06,0.07
38,0.25,0.39,0.17,0.31,0.06,0.07
39,0.26,0.39,0.17,0.31,0.05,0.08
40,0.25,0.42,0.17,0.29,0.05,0.07
41,0.27,0.41,0.18,0.29,0.05,0.07
42,0.27,0.39,0.19,0.3,0.05,0.07
43,0.28,0.38,0.2,0.31,0.04,0.07
44,0.27,0.36,0.2,0.31,0.04,0.09
45,0.28,0.36,0.21,0.3,0.04,0.09
46,0.3,0.39,0.21,0.27,0.04,0.09
47,0.26,0.38,0.23,0.27,0.03,0.09
48,0.32,0.38,0.25,0.26,0.03,0.08
49,0.31,0.38,0.25,0.28,0.03,0.06
50,0.33,0.35,0.28,0.28,0.02,0.07
51,0.36,0.36,0.27,0.28,0.02,0.07
52,0.32,0.38,0.25,0.26,0.03,0.08
53,0.34,0.38,0.25,0.26,0.03,0.08
54,0.33,0.38,0.24,0.26,0.03,0.09
55,0.35,0.38,0.23,0.27,0.03,0.09
56,0.34,0.39,0.22,0.27,0.03,0.09
57,0.35,0.4,0.22,0.26,0.03,0.09
58,0.3,0.43,0.2,0.26,0.02,0.09
59,0.34,0.44,0.17,0.27,0.02,0.1
60,0.33,0.45,0.16,0.27,0.02,0.1
61,0.33,0.44,0.17,0.26,0.01,0.12
62,0.31,0.43,0.16,0.28,0.01,0.12
63,0.35,0.44,0.17,0.26,0.01,0.12
64,0.31,0.43,0.19,0.25,0.01,0.12
65,0.31,0.43,0.19,0.25,0.01,0.12
66,0.33,0.41,0.2,0.26,0.0,0.13
67,0.35,0.42,0.19,0.26,0.0,0.13
68,0.31,0.39,0.21,0.26,0.0,0.14
69,0.36,0.39,0.2,0.28,0.0,0.13
70,0.35,0.41,0.21,0.26,0.0,0.12
71,0.33,0.39,0.23,0.25,0.0,0.13
72,0.29,0.39,0.22,0.25,0.0,0.14
73,0.31,0.39,0.21,0.26,0.0,0.14
74,0.33,0.4,0.23,0.24,0.0,0.13
75,0.32,0.42,0.22,0.23,0.0,0.13
76,0.3,0.42,0.25,0.22,0.0,0.11
77,0.28,0.45,0.27,0.19,0.0,0.09
78,0.24,0.48,0.27,0.17,0.0,0.08
79,0.19,0.48,0.27,0.17,0.0,0.08
80,0.21,0.5,0.26,0.16,0.0,0.08
81,0.19,0.53,0.26,0.17,0.0,0.04
82,0.2,0.55,0.26,0.15,0.0,0.04
83,0.16,0.54,0.27,0.15,0.0,0.04
84,0.18,0.53,0.28,0.15,0.0,0.04
85,0.17,0.53,0.28,0.15,0.0,0.04
86,0.17,0.51,0.3,0.14,0.0,0.05
87,0.17,0.51,0.3,0.14,0.0,0.05
88,0.17,0.54,0.29,0.13,0.0,0.04
89,0.15,0.53,0.3,0.15,0.0,0.02
90,0.15,0.52,0.31,0.15,0.0,0.02
91,0.16,0.52,0.31,0.15,0.0,0.02
92,0.17,0.52,0.31,0.15,0.0,0.02
93,0.16,0.52,0.31,0.15,0.0,0.02
94,0.16,0.54,0.31,0.15,0.0,0.0
95,0.15,0.58,0.28,0.14,0.0,0.0
96,0.14,0.56,0.29,0.15,0.0,0.0
97,0.15,0.56,0.29,0.15,0.0,0.0
98,0.15,0.57,0.28,0.15,0.0,0.0
99,0.15,0.53,0.31,0.16,0.0,0.0
